print_param,1,2,3,4
$\beta_0$,"$\makecell{-2.415 \tabularnewline (-2.588, -2.255)}$","$\makecell{-2.432 \tabularnewline (-2.605, -2.271)}$","$\makecell{-2.447 \tabularnewline (-2.619, -2.279)}$","$\makecell{-2.45 \tabularnewline (-2.618, -2.288)}$"
$\beta_{\text{nbhd\_stdev\_NDVI}}$,"$\makecell{-0.208 \tabularnewline (-0.247, -0.17)}$","$\makecell{-0.212 \tabularnewline (-0.255, -0.17)}$","$\makecell{-0.203 \tabularnewline (-0.248, -0.158)}$","$\makecell{-0.195 \tabularnewline (-0.242, -0.148)}$"
$\beta_{\text{prefire\_NDVI}}$,"$\makecell{1.044 \tabularnewline (0.911, 1.174)}$","$\makecell{1.13 \tabularnewline (1.028, 1.229)}$","$\makecell{1.141 \tabularnewline (1.057, 1.222)}$","$\makecell{1.132 \tabularnewline (1.056, 1.209)}$"
$\beta_{\text{fm100}}$,"$\makecell{-0.569 \tabularnewline (-0.71, -0.423)}$","$\makecell{-0.564 \tabularnewline (-0.709, -0.419)}$","$\makecell{-0.561 \tabularnewline (-0.697, -0.428)}$","$\makecell{-0.565 \tabularnewline (-0.712, -0.422)}$"
$\beta_{\text{pahl}}$,"$\makecell{0.239 \tabularnewline (0.208, 0.271)}$","$\makecell{0.238 \tabularnewline (0.205, 0.269)}$","$\makecell{0.239 \tabularnewline (0.207, 0.269)}$","$\makecell{0.24 \tabularnewline (0.209, 0.272)}$"
$\beta_{\text{topographic\_roughness}}$,"$\makecell{-0.01 \tabularnewline (-0.042, 0.022)}$","$\makecell{-0.006 \tabularnewline (-0.039, 0.027)}$","$\makecell{-0.002 \tabularnewline (-0.037, 0.032)}$","$\makecell{-0.002 \tabularnewline (-0.036, 0.033)}$"
$\beta_{\text{nbhd\_mean\_NDVI}}$,"$\makecell{-0.14 \tabularnewline (-0.278, 0.002)}$","$\makecell{-0.265 \tabularnewline (-0.381, -0.148)}$","$\makecell{-0.293 \tabularnewline (-0.392, -0.193)}$","$\makecell{-0.293 \tabularnewline (-0.389, -0.198)}$"
$\beta_{\text{nbhd\_stdev\_NDVI*prefire\_NDVI}}$,"$\makecell{0.125 \tabularnewline (0.029, 0.218)}$","$\makecell{0.06 \tabularnewline (-0.013, 0.135)}$","$\makecell{0.022 \tabularnewline (-0.045, 0.09)}$","$\makecell{0.009 \tabularnewline (-0.054, 0.072)}$"
$\beta_{\text{nbhd\_stdev\_NDVI*nbhd\_mean\_NDVI}}$,"$\makecell{-0.129 \tabularnewline (-0.223, -0.034)}$","$\makecell{-0.078 \tabularnewline (-0.151, -0.006)}$","$\makecell{-0.03 \tabularnewline (-0.095, 0.035)}$","$\makecell{-0.006 \tabularnewline (-0.068, 0.054)}$"
$\beta_{\text{nbhd\_stdev\_NDVI*fm100}}$,"$\makecell{-0.037 \tabularnewline (-0.081, 0.006)}$","$\makecell{-0.035 \tabularnewline (-0.078, 0.01)}$","$\makecell{-0.03 \tabularnewline (-0.076, 0.014)}$","$\makecell{-0.023 \tabularnewline (-0.07, 0.023)}$"
$\beta_{\text{nbhd\_mean\_NDVI*prefire\_NDVI}}$,"$\makecell{-0.573 \tabularnewline (-0.62, -0.526)}$","$\makecell{-0.564 \tabularnewline (-0.612, -0.516)}$","$\makecell{-0.549 \tabularnewline (-0.596, -0.502)}$","$\makecell{-0.537 \tabularnewline (-0.587, -0.49)}$"
