"id","response","time_window","interpolation","a","b","c","r2_kfold","r2_all","unchanged","low_sev","mod_sev","hi_sev"
1,"RdNBR",16,"bilinear",8.83070473403704,79.631419530653,0.908536669987533,0.727980036327369,0.768233893973251,88.4621242646901,96.0357684782716,256.744124205565,623.826997744761
2,"dNBR",16,"bilinear",32.677695452878,36.3558520019866,1.04752533005338,0.702883852791903,0.767309948023375,69.0335474548646,73.0485343335811,167.338875200515,416.541254346898
3,"RdNBR2",16,"bilinear",60.9843294831575,14.6905215457267,1.18926794420194,0.621629062915577,0.66222676729457,75.6748510288843,77.5300797506535,125.945351143596,274.36022274713
4,"dNBR2",16,"bilinear",29.8429614060636,8.75366927936268,1.13836312004293,0.611055627369047,0.667608557063476,38.5966306854263,39.6520490901214,66.165079105469,143.228060205906
5,"RdNDVI",16,"bilinear",-31.0839552400163,79.1460862786935,0.677656908295984,0.709099053751661,0.760040874294712,48.0621310386772,53.6114225857469,153.54838056162,332.504780452883
6,"dNDVI",16,"bilinear",-23.1288491614447,60.3511904364707,0.688712709356037,0.671225890165118,0.729124491997245,37.222341275026,41.5252781363607,119.617826379669,261.101292778819
7,"RBR",16,"bilinear",21.2757368140171,26.0352211192833,1.01638767532829,0.74124999913745,0.791267314669375,47.3109579333004,50.0962975614214,114.028257088945,277.56905153411
8,"RdNBR",32,"bilinear",-15.2757595039726,96.8111044257539,0.856725887511768,0.801824977660295,0.812814656390452,81.5353449217813,90.195056764,267.22156004946,650.128622942946
9,"dNBR",32,"bilinear",29.0834137249489,36.0519614985981,1.04775890602667,0.75552180659887,0.774306690959764,65.135375223547,69.11773681212,162.657984608242,409.93844649824
10,"RdNBR2",32,"bilinear",45.3702506999106,19.7558310779073,1.1001857806423,0.705199324905316,0.775269933929315,65.1260817778178,67.423661401743,123.524225600449,280.201389760036
11,"dNBR2",32,"bilinear",25.562370881816,8.59113862862405,1.14932896743253,0.719596757106563,0.74324443795052,34.15350951044,35.1998943768554,61.7020891407788,139.622009427959
12,"RdNDVI",32,"bilinear",-80.0428301394462,100.427153952322,0.623606274247951,0.802412507853145,0.814462663047046,20.3843238128755,26.8464202994008,138.928426108465,328.479568995658
13,"dNDVI",32,"bilinear",-52.7608850792987,69.5763412966456,0.656152734000058,0.760253507172638,0.783519604766114,16.8154562173469,21.5338329231281,105.242349233947,251.76869853409
14,"RBR",32,"bilinear",14.4453828027909,28.9155411295363,0.984793498633351,0.772721756383473,0.816531828728671,43.3609239323272,46.3534400375467,113.47025760663,279.560617094598
15,"RdNBR",48,"bilinear",-108.93734651794,162.288767965793,0.723627318784901,0.658283871883395,0.361954188926987,53.3514214478538,65.5304188019235,292.042599137033,717.842732966378
16,"dNBR",48,"bilinear",34.7588691351812,32.8370613275687,1.07643061112851,0.718085170278938,0.769758206366951,67.5959304627499,71.3278680446808,160.861494183154,404.767625450454
17,"RdNBR2",48,"bilinear",56.9927347833756,15.7004689437866,1.17374093760912,0.737916491230111,0.770058451704526,72.6932037271622,74.6485406698881,125.085212858867,277.208472218618
18,"dNBR2",48,"bilinear",32.6030234866319,6.29754178923541,1.24761684951123,0.699755743021399,0.733333873837796,38.9005652758673,39.7373727978125,62.5575493453004,136.905726399977
19,"RdNDVI",48,"bilinear",-67.7996456919681,103.501871044394,0.609445704666842,0.785123685637865,0.812230079075197,35.7022253524259,42.2062829111809,153.916251760518,340.027134445067
20,"dNDVI",48,"bilinear",-43.9688497247101,72.9590209794542,0.63730480271131,0.732778078756438,0.771341168598022,28.990171254744,33.7912472577768,117.858322958896,262.107240890868
21,"RBR",48,"bilinear",17.4020075660958,27.0170233240327,1.00629541650273,0.761650560860118,0.811698363582681,44.4190308901285,47.2792390791503,112.445673883084,277.389064288808
