system:index,alarm_date,cbi_over,cbi_over_t,cbi_tot,cbi_tot_t,fire_name,id,source,.geo
0000cc0c88d2b9c45f6b,1030863600000,0.68,,,,Tar Gap,44,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.68152716606659,36.437650230107344]}"
00005b952424ca7a2e77,1030863600000,0.83,,,,Tar Gap,62,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.67408975692226,36.43366206436526]}"
0000c9fa621f45aebbcf,1030863600000,0.43,,,,Tar Gap,59,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.67708216908466,36.44208455593061]}"
0000fbe1df69cec1a3f8,1030863600000,0.81,,,,Tar Gap,56,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.67886839427331,36.4411039857266]}"
00009c267ce819e7c988,1030863600000,1.36,,,,Tar Gap,45,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.68089012657633,36.44173363402533]}"
00005ad5c9f7b2cd6b2b,1030863600000,1.14,,,,Tar Gap,51,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.68348918182933,36.441715110758615]}"
000065703ccaaf7973e3,1030863600000,0.0,,,,Tar Gap,61,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.68273560127776,36.44401533773956]}"
000080522249095e015c,1030863600000,0.9,,,,Tar Gap,42,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.67530348534153,36.44704930117857]}"
0000d32c4df90a7e2630,1020236400000,1.15,,,,Sherman 9,38,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.7724578929913,36.572765259174126]}"
0000fe72d369a0caa982,1020236400000,1.28,,,,Sherman 9,39,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.7713219586891,36.57244860521517]}"
00004e921cc864df503e,1020236400000,1.18,,,,Sherman 9,40,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.77115555627805,36.57494795212131]}"
0000d0bbe35409cbdc14,1022914800000,0.0,,,,Highway,2,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.7657518135294,36.572233679924764]}"
00006fe4f220bdea76f4,1022914800000,2.29,,,,Highway,1,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-118.76166380012953,36.57183437442468]}"
0000694d1dbffa06b687,992156400000,3.0,,,,Hoover,186,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.46722112523872,37.66653406750119]}"
000084c3fe0e320daed0,992156400000,2.88,,,,Hoover,187,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.46930996735829,37.66559821690259]}"
00002bf167143f4eab07,992156400000,2.7,,,,Hoover,211,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.46763408967885,37.66736344318544]}"
0000e776ec6b4ac63595,992156400000,0.88,,,,Hoover,200,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.47492676133984,37.6654172874058]}"
000068dc1c4f65bdb806,992156400000,0.0,,,,Hoover,233,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.47640631110959,37.663890372960424]}"
00004008a8d911d3ed96,992156400000,0.91,,,,Hoover,198,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.48628498474267,37.67895592151854]}"
0000e979ff62a7330806,992156400000,2.59,,,,Hoover,210,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.48485156125152,37.679490779717284]}"
0000ed7a995e9c6c0b00,992156400000,2.51,,,,Hoover,209,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.48706815383652,37.68541826656435]}"
0000e956e9b8cb3a0cf9,992156400000,2.38,,,,Hoover,224,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.4868980059712,37.68406120506245]}"
0000d154181fafbb24af,992156400000,2.73,,,,Hoover,177,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.48568673705242,37.68039227810158]}"
000073a35836f7f2feab,992156400000,2.06,,,,Hoover,223,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.48622872597514,37.68100259669513]}"
0000ccb32692d50edd04,992156400000,2.44,,,,Hoover,207,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.48907383061724,37.67996032144229]}"
0000bfe0c6b843cdc240,992156400000,2.75,,,,Hoover,208,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.48974136777505,37.68364070457515]}"
0000a5585e1e13549278,992156400000,2.75,,,,Hoover,206,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49209997756712,37.67924755390385]}"
00008529e3789d0603ea,992156400000,2.75,,,,Hoover,205,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49431648843769,37.67975031067878]}"
0000d94192a0b069464a,992156400000,0.0,,,,Hoover,230,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49610239666451,37.67870686169976]}"
00000fe276ede13f0f34,992156400000,1.93,,,,Hoover,199,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.4957226784133,37.68043239221685]}"
0000e730aabf51c48d8d,992156400000,1.65,,,,Hoover,219,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.5033230768141,37.66606093049297]}"
00008e94e76da88d5fe6,992156400000,2.38,,,,Hoover,220,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49946892983081,37.67112576401659]}"
00000797f31de3e78ed6,992156400000,0.16,,,,Hoover,234,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.50065100036431,37.67559713829548]}"
0000e7f2071686b6cd8c,992156400000,1.55,,,,Hoover,196,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49757086400702,37.676383354450174]}"
0000215a50708a53f732,992156400000,1.63,,,,Hoover,221,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49904140663027,37.67290998939567]}"
0000a13baacb64cf3093,992156400000,2.19,,,,Hoover,222,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49447433270142,37.673979962298596]}"
0000daeba629ff82bfc6,992156400000,2.6,,,,Hoover,204,zhu2006,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-119.49561609812034,37.67692038259695]}"
