A. Organization Codes,,B. Fire_Information,,,C. Plot Characteristics,,,,,,,,D. Location Information,,,,,,E. Biophysical Setting,,,,,,F. Vegetation and Ground Cover (GC) Characteristics (%Cover),,,,,,,,,,,,,,,G. Species Dominance,,,,,,H. Potential Vegetation,,I. Ground Cover (GC) Information,,,,,,,,,,J. Site Photos and Notes,,,,,,K. CBI results from FIRESEV CBI-Modified Form (specifically designed for FIRESEV data collection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L. CBI Index Values by Stratum and fuels (calculated from percentages in FIRESEV form for the Key and Benson 2007 CBI form),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M. FIREHARM_CBI_Estimates,,N. GeoCBI Estimates,
Organization,Project,FireDate,FireName,State,PlotID,Collection Date,FIRESEV_Examiner,Measurement_Units,Plot_Radius,Plot_Type,SampleEvent,LocType,Northing,Easting,UTM_Zone,Datum,GPS_Error,GPS_Err_Units,Elev,Aspect,Slope,Landform,Vertical_Slope_Shape,Horizontal_Slope_Shape,TotalTreeCover,SeedlingTreeCover,SaplingTreeCover,PoleTreeCover,MediumTreeCover,LargeTreeCover,VeryLargeTreeCover,TotalShrubCover,LowShrubCover,MediumShrubCover,TallShrubCover,GraminoidCover,ForbCover,FernCover,MossCover,UpperDominantSpecies1,UpperDominantSpecies2,MidDominantSpecies1,MidDominantSpecies2,LowerDominantSpecies1,LowerDominantSpecies2,PotentialVegTypeID,PotentialLifeform,BareSoilGC,GravelGC,RockGC,DuffGC,WoodGC,MossAndLichenGC,CharredGC,AshGC,BasalVegetationGC,WaterGC,Photo1 North-facing,Photo2 North-facing,Local1,Local2,Photo_Comments,FIRESEV_Comments,Plot_AreaBurned,A_FCovPre,A_FCovPost,A_Litter,A_Duff,A_FineFuel,A_LargeFuel,A_SoilRockCovCol,A_GreenBrown,A_GrayBlack,A_Red,B_FCov_Pre,B_FCov_Post,B_Altered,B_PctLive,B_Comp,B_Twig,B_TwgSpp,B1_FCov_Pre,B1_FCov_Post,B1_Altered,B1_PctLive,B1_Comp,B2_FCov_Pre,B2_FCov_Post,B2_Altered,B2_PctLive,B2_Comp,B2_Twig,B2_TwgSpp,C_FCov_Pre,C_FCov_Post,C_Altered,C_PctLive,C_CovChange,C_Comp,C_Twig,C_TwgSpp,D_FCov_Pre,D_FCov_Post,D_Green,D_BlackBrown,D_PctLive,D_Twig,D_TwgSpp,E_FCov_Pre,E_FCov_Post,E_Green,E_BlackBrown,E_PctLive,F_FCov_Pre,F_FCov_Post,F_Green,F_BlackBrown,F_PctLive,FIRESEV_Burn_Severity_Comments,LS_BurnSev,FIRESEV_Burn_Severity_FH_Overall,FH_Overstory,FH_Fuel,FH_Soil,EVT_pre,EVT_post,SS_pre,SS_post,ESP,A_Litter_cbi,A_Duff_cbi,A_FineFuel_cbi,A_LargeFuel_cbi,A_SoilColFracCov_cbi,cbi_A,B_Altered_cbi,B_PctLive_cbi,B_Comp_cbi,cbi_B_t,cbi_B,B1_Altered_cbi,B1_PctLive_cbi,B1_Comp_cbi,cbi_B1,B2_Altered_cbi,B2_PctLive_cbi,B2_Comp_cbi,cbi_B2_t,cbi_B2,C_Altered_cbi,C_PctLive_cbi,C_Comp_cbi,cbi_C_t,cbi_C,D_Green_cbi,D_BlackBrown_cbi,D_PctLive_cbi,cbi_D_t,cbi_D,E_Green_cbi,E_BlackBrown_cbi,E_PctLive_cbi,cbi_E,F_Green_cbi,F_BlackBrown_cbi,F_PctLive_cbi,cbi_F,cbi_tot_t,cbi_tot,FIRESEV_Cbi_calc_FH_Overall,FH_Average,GeoCBI_post,GeoCBI_pre
MFSL,FIRESEV,8/18/2008,Swanson Lake,WA,1201,10/20/2009,S. Leirfallom,M,11.30000019,M,IV,U,5281830,394426,11,WGS84,5,m,720,,0,HIL,CC,CC,20,3,0,0,20,0,0,10,10,0,0,20,30,0,10,PIPO,N,N,N,TUMMUS,N,1053,CF,20,10,3,30,0.5,10,30,0,0.5,0,1201_N_Ground.JPG,1201_N_Stand.JPG,,,,,90,,20,90,80,30,98,70,40,60,0,,50,60,90,L,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,80,20,98,,,,,,,NLS,1,0,2,2,2053,2053,MA,MA,1053,2.754820937,2.448729721,0.918273645546373,2.99969390878482,1.836547291,2.191613101,1.83654729109275,0.306091215182124,1,0.785659626568717,1.04754616875829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.612182430364248,0.612182430364248,0.0612182430364249,0.428527701254974,NA,NA,NA,NA,1.13526681,1.222562324,1,1.333333333,1.164223605,NA
MFSL,FIRESEV,8/18/2008,Swanson Lake,WA,1202,10/20/2009,G. Cohn,M,11.30000019,M,IV,U,5281869,394278,11,WGS84,3,m,716,,0,HIL,FL,FL,0,0,0,0,0,0,0,0,0,0,0,30,3,0,3,N,N,N,N,POSE,TUMMUS,1125,HU,20,40,3,10,0,3,10,0,0.5,0,1202_N_Ground.JPG,1202_N_Stand.JPG,,,,,30,,70,30,20,30,,20,70,30,0,,30,30,80,U,,,,30,30,80,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NLS,1,1,1,1,2123,2123,HE,HE,1123,0.918273646,0.61218243,0.918273645546373,NA,0.918273646,0.841750842,0.918273645546373,0.612182430364248,0,0.51015202530354,0.51015202530354,0.918273645546373,0.612182430364248,0,0.51015202530354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.675951434,0.675951434,1,1,0.688705234,NA
MFSL,FIRESEV,8/18/2008,Swanson Lake,WA,1209,10/23/2009,S. Leirfallom,M,11.30000019,M,IV,U,5285669,396871,11,WGS84,3,m,719,,0,PLA,UN,PA,0,0,0,0,0,0,0,20,20,0,0,40,10,0,0.5,N,N,N,N,POSE,N,1123,HU,60,0.5,0.5,30,0,0.5,3,0,0.5,0,1209_N_Ground.JPG,1209_N_Stand.JPG,,,,NO PLOTS 1203-1208.,40,40,50,40,40,30,,10,90,10,0,60,50,60,80,L,0,,40,40,40,90,L,20,10,90,80,U,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS,1,1,2,1,2123,2123,SH,SH,1123,1.224364861,1.224364861,0.918273645546373,NA,0.306091215,0.918273646,1.83654729109275,0.612182430364248,1,0.862182430364248,1.149576573819,1.2243648607285,0.306091215182124,1,0.843485358636874,2.75482093663912,0.612182430364248,0,0.841750841750842,1.12233445566779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.867836615,0.961364487,1,1.333333333,0.989035132,1.01182277318641
MFSL,FIRESEV,8/18/2008,Swanson Lake,WA,1210,10/23/2009,S. Leirfallom,M,11.30000019,M,IV,U,5286531,396350,11,WGS84,6,m,730,250,4,PLA,CC,CC,30,0.5,0,3,20,0,0,3,3,0,0,20,20,0,10,PIPO,N,N,N,FEID,EXOTHI,1053,CF,10,0.5,10,50,0.5,10,20,0,0.5,0,1210_N_Ground.JPG,1210_N_Stand.JPG,,,,,80,20,40,80,60,98,,40,70,30,0.5,60,40,98,80,H,0,ARTR2,,,,,,,,,,,,,0.5,0.5,98,0,0.5,H,0,PIPO,0.5,0.5,0,98,0,1,PIPO,10,10,80,20,98,10,10,90,10,98,,NLS,1,1,2,2,2123,2123,PO,PO,1123,2.448729721,1.836547291,2.99969390878482,NA,0.933578206,2.054637282,2.99969390878482,0.612182430364248,3,1.65296908478727,2.20395877971636,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99969390878482,3.06091215182124,3,2.26515151515152,3.02020202020202,3.06091215182124,2.99969390878482,3.06091215182124,2.53037955310683,3.0405060708091,0.612182430364248,0.612182430364248,0.0612182430364249,0.428527701254974,0.306091215182124,0.306091215182124,0.0612182430364249,0.224466891133558,1.526022005,1.828716458,1,1.666666667,1.781229133,1.81079774644131
MFSL,FIRESEV,8/18/2008,Swanson Lake,WA,1404,10/23/2009,V. Holley,M,11.30000019,M,IV,U,5286548,326460,11,WGS84,4,m,730,,0,HIL,PA,PA,20,0.5,0.5,10,10,0,0,0,0,0,0,10,30,0,10,PIPO,N,EXOFOR,N,EXOFOR,N,1053,CF,0.5,0.5,3,70,0.5,10,10,0,0.5,0,1404_N_Ground.JPG,1404_N_Stand.JPG,,,,,98,40,70,98,98,90,98,90,10,90,0,30,10,98,98,L,1,PIPO,,,,,,,,,,,,,10,0.5,98,0,90,H,1,PIPO,,,,,,,,20,20,20,0,98,,,,,,,MS,2,1,2,2,2053,2053,PO,PO,1053,2.999693909,2.999693909,2.75482093663912,2.99969390878482,2.754820937,2.90174472,2.99969390878482,0.0612182430364249,1,1.26522803795531,1.35363738394041,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99969390878482,3.06091215182124,3,2.51515151515152,3.02020202020202,NA,NA,NA,NA,NA,2.44872972145699,0,0.0612182430364249,0.836649321497806,NA,NA,NA,NA,1.879693399,2.028058361,2,1.666666667,2.33732927,2.0361391694725
MFSL,FIRESEV,8/18/2008,Swanson Lake,WA,1405,10/23/2009,V. Holley,M,11.30000019,M,IV,U,5286589,396565,11,WGS84,5,m,715,,0,HIL,CC,CC,0.5,0.5,0,0,0,0,0,0,0,0,0,0,70,0,0.5,N,N,EXOFOR,N,N,N,1053,CF,20,0.5,0,70,0.5,0.5,10,0,0.5,0,1405_N_Ground.JPG,1405_N_Stand.JPG,,,,,90,30,30,80,80,80,20,10,80,20,0,50,70,98,20,H,0,EXOFOR,,,,,,,,,,,,,3,0.5,98,0,90,H,1,PIPO,,,,,,,,20,3,0,98,0,3,0.5,0,98,0,,SR,3,3,3,3,2053,2053,MA,SE,1053,2.448729721,2.448729721,2.44872972145699,0.612182430364248,0.61218243,1.714110805,2.99969390878482,2.44872972145699,3,2.11210590756045,2.8161412100806,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.99969390878482,3.06091215182124,3,2.51515151515152,3.02020202020202,NA,NA,NA,NA,NA,3.06091215182124,2.99969390878482,3.06091215182124,3.0405060708091,3.06091215182124,2.99969390878482,3.06091215182124,3.0405060708091,2.484476074,2.726293235,3,3,2.506779626,2.55870405984757
MFSL,FIRESEV,8/18/2008,Swanson Lake,WA,1501,10/20/2009,G. Dillon,M,11.30000019,M,IV,U,5282490,394288,11,WGS84,3,m,710,162,8,HIL,PA,PA,0,0,0,0,0,0,0,0.5,0.5,0,0,10,3,0,0.5,N,N,N,N,AGROP2,N,1125,SU,50,40,10,3,0.5,0.5,3,0,0.5,0,1501_N_Ground.JPG,1501_N_Stand.JPG,,,,,98,,80,90,90,60,,30,70,30,0,,20,90,60,L,0,ARTR2,,20,98,80,U,,0.5,90,20,M,0,ARTR2,,0.5,98,0,98,H,0,ARTR2,,,,,,,,,,,,,,,,,,,MS,2,3,2,1,2125,2125,SH,HE,1125,2.754820937,2.754820937,1.83654729109275,NA,0.918273646,2.066115702,2.75482093663912,1.2243648607285,1,1.2447964493419,1.65972859912254,2.99969390878482,0.612182430364248,0,1.20395877971636,2.75482093663912,2.44872972145699,2,1.80088766452403,2.4011835526987,2.99969390878482,3.06091215182124,3,2.26515151515152,3.02020202020202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.858687889,2.248682107,2,2,1.861766087,NA
MFSL,FIRESEV,8/18/2008,Swanson Lake,WA,1502,10/20/2009,C. Lowney,M,11.30000019,M,IV,U,5282320,394112,11,WGS84,4,m,713,31,9,HIL,CV,CV,0,0,0,0,0,0,0,0.5,0.5,0,0,10,40,0,0,N,N,N,N,EXOFOR,AGROP2,1125,SU,30,30,0.5,20,0.5,0,20,0,0.5,0,1502_N_Ground.JPG,1502_N_Stand.JPG,,,,,98,,40,90,90,98,,30,70,30,0,,60,98,80,M,0,ARTR2,,60,98,90,M,,0.5,98,3,H,0,ARTR2,,,,,,,,,,,,,,,,,,,,,,,,,,,MS,2,1,3,2,2125,2182,SH,HE,1125,2.754820937,2.754820937,2.99969390878482,NA,0.918273646,2.356902357,2.99969390878482,0.612182430364248,2,1.40296908478727,1.87062544638302,2.99969390878482,0.306091215182124,2,1.76859504132231,2.99969390878482,2.96908478726661,3,2.24219467401286,2.98959289868381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.122564024,2.371696766,2,2,1.957159626,NA
MFSL,FIRESEV,8/18/2008,Swanson Lake,WA,1503,10/20/2009,C. Lowney,M,11.30000019,M,IV,U,5282149,383974,11,WGS84,5,m,700,,0,PLA,LI,LI,0,0,0,0,0,0,0,0,0,0,0,80,3,0,0,N,N,N,N,CAREX,N,1123,HU,20,0,0.5,80,0,0,3,0,0.5,0,1503_N_Ground.JPG,1503_N_Stand.JPG,,,,SEDGE/GRASSLAND,98,,20,98,50,,,20,0.5,98,0,,80,98,80,U,,,,80,98,80,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS,1,1,2,1,2123,2123,HE,HE,1123,2.999693909,1.530456076,NA,NA,2.999693909,2.509947964,2.99969390878482,0.612182430364248,0,1.20395877971636,1.20395877971636,2.99969390878482,0.612182430364248,0,1.20395877971636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.856953372,1.856953372,1,1.333333333,1.349068689,NA
MFSL,FIRESEV,8/18/2008,Swanson Lake,WA,1910,10/23/2009,V. Holley,M,11.30000019,M,IV,U,5285389,396724,11,WGS84,3,m,712,130,3,HIL,PA,PA,0,0,0,0,0,0,0,0,0,0,0,50,30,0,10,N,N,N,N,POA,N,1023,HU,30,3,0,30,0.5,10,30,0,0.5,0,1910_N_Ground.JPG,1910_N_Stand.JPG,,,,,90,20,40,60,40,90,,20,70,30,0,,,,,,,,80,60,40,80,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS,1,1,1,1,2123,2123,HE,HE,1123,1.836547291,1.224364861,2.75482093663912,NA,0.918273646,1.683501684,NA,NA,NA,NA,NA,1.2243648607285,0.612182430364248,2,1.27884909703092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48117539,1.48117539,1,1,1.440710132,1.35977961432507
