Value,ESP_Name
-9999,No Data
11,Open Water
12,Perrennial Ice/Snow
31,Barren-Rock/Sand/Clay
1001,Inter-Mountain Basins Sparsely Vegetated Systems
1002,Mediterranean California Sparsely Vegetated Systems
1003,North Pacific Sparsely Vegetated Systems
1004,North American Warm Desert Sparsely Vegetated Systems
1005,Pacific Coastal Dunes and Other Sparsely Vegetated Systems
1006,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
1007,Western Great Plains Sparsely Vegetated Systems
1008,North Pacific Oak Woodland
1009,Northwestern Great Plains Aspen Forest and Parkland
1011,Rocky Mountain Aspen Forest and Woodland
1012,Rocky Mountain Bigtooth Maple Ravine Woodland
1013,Western Great Plains Dry Bur Oak Forest and Woodland
1014,Central and Southern California Mixed Evergreen Woodland
1015,California Coastal Redwood Forest
1016,Colorado Plateau Pinyon-Juniper Woodland
1017,Columbia Plateau Western Juniper Woodland and Savanna
1018,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
1019,Great Basin Pinyon-Juniper Woodland
1020,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
1021,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland
1022,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland
1023,Madrean Encinal
1024,Madrean Lower Montane Pine-Oak Forest and Woodland
1025,Madrean Pinyon-Juniper Woodland
1026,Madrean Upper Montane Conifer-Oak Forest and Woodland
1027,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland
1028,Mediterranean California Mesic Mixed Conifer Forest and Woodland
1029,Mediterranean California Mixed Oak Woodland
1030,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland
1031,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland
1032,Mediterranean California Red Fir Forest
1033,Mediterranean California Subalpine Woodland
1034,Mediterranean California Mesic Serpentine Woodland and Chaparral
1035,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland
1036,North Pacific Hypermaritime Sitka Spruce Forest
1037,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest
1038,North Pacific Maritime Mesic Subalpine Parkland
1039,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest
1041,North Pacific Mountain Hemlock Forest
1042,North Pacific Mesic Western Hemlock-Silver Fir Forest
1043,Mediterranean California Mixed Evergreen Forest
1044,Northern California Mesic Subalpine Woodland
1045,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
1046,Northern Rocky Mountain Subalpine Woodland and Parkland
1047,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
1048,Northwestern Great Plains Highland White Spruce Woodland
1049,Rocky Mountain Foothill Limber Pine-Juniper Woodland
1050,Rocky Mountain Lodgepole Pine Forest
1051,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland
1052,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland
1053,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna
1054,Southern Rocky Mountain Ponderosa Pine Woodland
1055,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland
1056,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland
1057,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland
1058,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland
1059,Southern Rocky Mountain Pinyon-Juniper Woodland
1060,East Cascades Oak-Ponderosa Pine Forest and Woodland
1061,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland
1062,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland
1063,North Pacific Broadleaf Landslide Forest and Shrubland
1064,Colorado Plateau Mixed Low Sagebrush Shrubland
1065,Columbia Plateau Scabland Shrubland
1066,Inter-Mountain Basins Mat Saltbush Shrubland
1067,Mediterranean California Alpine Fell-Field
1068,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow
1070,Rocky Mountain Alpine Dwarf-Shrubland
1071,Sierra Nevada Alpine Dwarf-Shrubland
1072,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe
1073,Baja Semi-Desert Coastal Succulent Scrub
1074,Chihuahuan Creosotebush Desert Scrub
1075,Chihuahuan Mixed Salt Desert Scrub
1076,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub
1077,Chihuahuan Succulent Desert Scrub
1078,Colorado Plateau Blackbrush-Mormon-tea Shrubland
