Value,EVT_Name
-9999,No Data
0,None
11,Open Water
12,Snow-Ice
13,Developed-Upland Deciduous Forest
14,Developed-Upland Evergreen Forest
15,Developed-Upland Mixed Forest
16,Developed-Upland Herbaceous
17,Developed-Upland Shrubland
18,Developed-Herbaceous Wetland Vegetation
19,Developed-Woody Wetland Vegetation
20,Developed-General
21,Developed-Open Space
22,Developed-Low Intensity
23,Developed-Medium Intensity
24,Developed-High Intensity
25,Developed-Roads
31,Barren
32,Quarries-Strip Mines-Gravel Pits
60,NASS-Orchard
61,NASS-Vineyard
62,NASS-Bush fruit and berries
63,NASS-Row Crop-Close Grown Crop
64,NASS-Row Crop
65,NASS-Close Grown Crop
66,NASS-Fallow/Idle Cropland
67,NASS-Pasture and Hayland
75,Herbaceous Semi-dry
76,Herbaceous Semi-wet
78,Recently Disturbed Forest
80,Agriculture-General
81,Agriculture-Pasture and Hay
82,Agriculture-Cultivated Crops and Irrigated Agriculture
83,Agriculture-Small Grains
84,Agriculture-Fallow
85,Agriculture-Urban and Recreational Grasses
95,Herbaceous Wetlands
200,Unclassified Sparsely Vegetated Systems
201,Unclassified Forest and Woodland
202,Unclassified Shrubland
203,Unclassified Upland Herbaceous
204,Unclassified Savanna
205,Unclassified Shrub-Steppe
206,Unclassified Grassland
207,Unclassified Wetland-Riparian Herbaceous
2001,Inter-Mountain Basins Sparsely Vegetated Systems
2002,Mediterranean California Sparsely Vegetated Systems
2003,North Pacific Sparsely Vegetated Systems
2004,North American Warm Desert Sparsely Vegetated Systems
2005,Pacific Coastal Dunes and Other Sparsely Vegetated Systems
2006,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems
2007,Western Great Plains Sparsely Vegetated Systems
2008,North Pacific Oak Woodland
2009,Northwestern Great Plains Aspen Forest and Parkland
2010,Northern Rocky Mountain Western Larch Savanna
2011,Rocky Mountain Aspen Forest and Woodland
2012,Rocky Mountain Bigtooth Maple Ravine Woodland
2013,Western Great Plains Dry Bur Oak Forest and Woodland
2014,Central and Southern California Mixed Evergreen Woodland
2015,California Coastal Redwood Forest
2016,Colorado Plateau Pinyon-Juniper Woodland
2017,Columbia Plateau Western Juniper Woodland and Savanna
2018,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland
2019,Great Basin Pinyon-Juniper Woodland
2020,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland
2021,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland
2022,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland
2023,Madrean Encinal
2024,Madrean Lower Montane Pine-Oak Forest and Woodland
2025,Madrean Pinyon-Juniper Woodland
2026,Madrean Upper Montane Conifer-Oak Forest and Woodland
2027,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland
2028,Mediterranean California Mesic Mixed Conifer Forest and Woodland
2029,Mediterranean California Mixed Oak Woodland
2030,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland
2031,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland
2032,Mediterranean California Red Fir Forest
2033,Mediterranean California Subalpine Woodland
2034,Mediterranean California Mesic Serpentine Woodland and Chaparral
2035,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland
2036,North Pacific Hypermaritime Seasonal Sitka Spruce Forest
2037,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest
2038,North Pacific Maritime Mesic Subalpine Parkland
2039,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest
2040,North Pacific Mesic Western Hemlock-Yellow-cedar Forest
2041,North Pacific Mountain Hemlock Forest
2042,North Pacific Mesic Western Hemlock-Silver Fir Forest
2043,Mediterranean California Mixed Evergreen Forest
2044,Northern California Mesic Subalpine Woodland
2045,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest
2046,Northern Rocky Mountain Subalpine Woodland and Parkland
2047,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest
2048,Northwestern Great Plains Highland White Spruce Woodland
