qual_ea,qual_ia,region,examine,subreg,fireyr,reg_code,proj_cod,fire_nam,plot_id,fld_date,fld_year,firedate,utmeast,utmnorth,utm_zone,gpsdatum,utme_rep,utmn_rep,utmz_rep,datumrep,gpserror,aspect,slope,radius_o,radius_u,n_photos,fuelphot,pctburnu,pctburno,precov_l,precov_d,precov_s,predep_l,predep_d,predep_f,a_moss,a_litter,a_duff,a_med_f,a_heavy_,a_soilc,a_sum,a_n,b_pre_co,b_enhanc,b_nvplnt,b_fol_al,b_living,b_coloni,b_sppcom,b_sum,b_n,c_pre_co,c_enhanc,c_fol_un,c_fol_al,c_living,c_chcove,c_coloni,c_sppcom,c_sum,c_n,d_pre_co,d_pre#li,d_pre#de,d_green,d_black,d_brown,d_canmor,d_charht,d_sum,d_n,d_girdl,d_felled,d_tmort,e_pre_co,e_pre#li,e_pre#de,e_green,e_black,e_brown,e_canmor,e_charht,e_sum,e_n,e_girdl,e_felled,e_tmort,tree_grd,tree_fel,tree_mor,s_undr,s_over,s_total,n_undr,n_over,n_total,a_mean,b_mean,c_mean,d_mean,e_mean,cbi_undr,cbi_over,cbi_totl,comment,firenam2,plot_id2
-9,1,AK,"Brian Sorbel, Janet Hobby, Kristin Shive",ALASKA,1999.00,NPS_YUCH,99 Burns,B242,242B1,6/27/2001,2001,1999,-141.9,65.3,#NULL!,dd/NAD27,562969.9,1757163.1,#NULL!,ALB/NAD27,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.0,2.0,2.8,.0,6.80,4,#NULL!,#NULL!,#NULL!,#NULL!,2.3,2.7,2.7,7.70,3,#NULL!,#NULL!,#NULL!,2.8,2.2,#NULL!,#NULL!,2.0,7.00,3,#NULL!,#NULL!,#NULL!,3.00,2.80,2.80,#NULL!,3.0,11.60,4,2.8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,25.0,#NULL!,21.50,11.60,33.10,10,4,14,1.70,2.57,2.33,2.90,#NULL!,2.15,2.90,2.36,Sphagnum charred.  Serals (& regen) fairly short/young.  Area indicates flooding.,B242,242B1
-9,1,AK,"Brian Sorbel, Janet Hobby, Kristin Shive",ALASKA,1999.00,NPS_YUCH,99 Burns,B242,242B2,6/27/2001,2001,1999,-141.9,65.3,#NULL!,dd/NAD27,563178.8,1757286.4,#NULL!,ALB/NAD27,4.0,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.8,#NULL!,2.5,3.0,8.30,3,#NULL!,#NULL!,#NULL!,#NULL!,2.5,2.8,3.0,8.30,3,#NULL!,#NULL!,#NULL!,2.6,2.3,#NULL!,#NULL!,3.0,7.90,3,#NULL!,#NULL!,#NULL!,3.00,2.90,2.80,#NULL!,3.0,11.70,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,20.0,100.0,24.50,11.70,36.20,9,4,13,2.77,2.77,2.63,2.93,#NULL!,2.72,2.93,2.78,Plot area flooded after burn so site was highly disturbed and it was difficult to tell which disturbance caused the most ground cover disturbance.  Land slides near area.,B242,242B2
-9,1,AK,"Brian Sorbel, Janet Hobby, Kristin Shive",ALASKA,1999.00,NPS_YUCH,99 Burns,B242,242B3,6/27/2001,2001,1999,-141.9,65.3,#NULL!,dd/NAD27,563416.8,1757467.9,#NULL!,ALB/NAD27,4.6,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.8,1.0,2.4,.0,5.20,4,#NULL!,#NULL!,#NULL!,#NULL!,2.4,1.7,2.0,6.10,3,#NULL!,#NULL!,#NULL!,2.5,2.8,#NULL!,#NULL!,2.7,8.00,3,#NULL!,#NULL!,#NULL!,3.00,2.90,2.90,#NULL!,3.0,11.80,4,3.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.7,2.8,#NULL!,3.0,11.50,4,3.0,#NULL!,#NULL!,#NULL!,10.0,#NULL!,19.30,23.30,42.60,10,8,18,1.30,2.03,2.67,2.95,2.88,1.93,2.91,2.37,Seral distribution moderate but even throughout unit.  Little evidence of any tall shrubs pre-fire.  Nice wildflowers.  Deep moss layer that bordered a real duff layer.,B242,242B3
-9,1,AK,"Brian Sorbel, Janet Hobby, Kristin Shive",ALASKA,1999.00,NPS_YUCH,99 Burns,B242,242B4,6/27/2001,2001,1999,-141.9,65.3,#NULL!,dd/NAD27,563602.5,1757645.8,#NULL!,ALB/NAD27,7.3,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.8,1.5,1.0,.0,4.30,4,#NULL!,#NULL!,#NULL!,#NULL!,2.2,1.7,2.9,6.80,3,#NULL!,#NULL!,#NULL!,2.5,1.2,#NULL!,.2,1.8,5.70,4,#NULL!,#NULL!,#NULL!,3.00,2.40,2.20,#NULL!,2.9,10.50,4,2.8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.4,2.0,#NULL!,3.0,10.40,4,2.0,#NULL!,#NULL!,#NULL!,20.0,100.0,16.80,20.90,37.70,11,8,19,1.08,2.27,1.43,2.63,2.60,1.53,2.61,1.98,"Little moss burned through this affecting severity rating; 3-5"" or moss remainng.  Seral species flourishing and hardwoods and tall shrub regenerating well.",B242,242B4
-9,1,AK,"Brian Sorbel, Janet Hobby, Kristin Shive",ALASKA,1999.00,NPS_YUCH,99 Burns,B242,242B5,6/27/2001,2001,1999,-141.9,65.3,#NULL!,dd/NAD27,563452.3,1757949.1,#NULL!,ALB/NAD27,5.2,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.8,2.6,#NULL!,2.7,8.10,3,#NULL!,#NULL!,#NULL!,#NULL!,2.8,2.8,2.9,8.50,3,#NULL!,#NULL!,#NULL!,#NULL!,2.5,#NULL!,#NULL!,#NULL!,2.50,1,#NULL!,#NULL!,#NULL!,3.00,2.80,2.80,#NULL!,3.0,11.60,4,2.8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,40.0,100.0,19.10,11.60,30.70,7,4,11,2.70,2.83,2.50,2.90,#NULL!,2.73,2.90,2.79,More serals uplope on edge of plot. General absence of tall shrubs/saplings.  Low occurrence of serals in plot; soils exposed,B242,242B5
-9,1,AK,"Brian Sorbel, Janet Hobby, Kristin Shive",ALASKA,1999.00,NPS_YUCH,99 Burns,B242,242B6,6/27/2001,2001,1999,-141.9,65.3,#NULL!,dd/NAD27,563188.9,1758042.3,#NULL!,ALB/NAD27,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.8,2.8,2.3,2.0,9.90,4,#NULL!,#NULL!,#NULL!,#NULL!,2.2,1.9,2.8,6.90,3,#NULL!,#NULL!,#NULL!,2.7,1.2,#NULL!,2.8,2.9,9.60,4,#NULL!,#NULL!,#NULL!,3.00,2.20,2.50,#NULL!,3.0,10.70,4,2.8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,26.40,10.70,37.10,11,4,15,2.48,2.30,2.40,2.68,#NULL!,2.40,2.68,2.47,,B242,242B6
-9,1,AK,"Brian Sorbel, Janet Hobby, Kristin Shive",ALASKA,1999.00,NPS_YUCH,99 Burns,B242,242B7,6/27/2001,2001,1999,-141.9,65.3,#NULL!,dd/NAD27,563299.8,1758026.4,#NULL!,ALB/NAD27,4.3,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.9,2.9,2.8,2.7,11.30,4,#NULL!,#NULL!,#NULL!,#NULL!,2.2,1.7,2.5,6.40,3,#NULL!,#NULL!,#NULL!,2.5,2.0,#NULL!,1.5,2.5,8.50,4,#NULL!,#NULL!,#NULL!,3.00,2.80,2.70,#NULL!,3.0,11.50,4,3.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.5,2.5,#NULL!,3.0,11.00,4,3.0,#NULL!,#NULL!,#NULL!,30.0,100.0,26.20,22.50,48.70,11,8,19,2.83,2.13,2.13,2.88,2.75,2.38,2.81,2.56,Very rocky soils.  Plot located on a bench in the middle of a very steep (95%) slope.  Aspen stand to north of plot flourishing w/ suckers.,B242,242B7
-9,1,AK,"M. Henderson, B. Sorbel, J. Hobby, N. Guldager, K.",ALASKA,1999.00,NPS_YUCH,99 Burns,B242,242C11,6/24/2001,2001,1999,-141.8,65.4,#NULL!,dd/NAD27,565066.1,1764721.0,#NULL!,ALB/NAD27,4.6,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.8,2.3,#NULL!,#NULL!,4.10,2,#NULL!,#NULL!,2.0,#NULL!,2.0,2.1,2.1,8.20,4,#NULL!,#NULL!,#NULL!,2.0,2.0,#NULL!,#NULL!,2.1,6.10,3,#NULL!,#NULL!,#NULL!,3.00,2.50,2.50,#NULL!,3.0,11.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,20.0,100.0,18.40,11.00,29.40,9,4,13,2.05,2.05,2.03,2.75,#NULL!,2.04,2.75,2.26,,B242,242C11
-9,1,AK,"M. Henderson, K. Shive, B. Sorbel, J. Hobby, N. Gu",ALASKA,1999.00,NPS_YUCH,99 Burns,B242,242C2,6/24/2001,2001,1999,-141.8,65.4,#NULL!,dd/NAD27,565088.5,1764460.5,#NULL!,ALB/NAD27,4.2,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.0,3.0,#NULL!,#NULL!,5.00,2,#NULL!,#NULL!,2.0,#NULL!,2.5,2.0,3.0,9.50,4,#NULL!,#NULL!,#NULL!,2.8,2.0,#NULL!,#NULL!,3.0,7.80,3,#NULL!,#NULL!,#NULL!,3.00,2.50,3.00,#NULL!,3.0,11.50,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,15.0,100.0,22.30,11.50,33.80,9,4,13,2.50,2.38,2.60,2.88,#NULL!,2.48,2.88,2.60,Moss includes sphagnum.,B242,242C2
-9,1,AK,"Marsha Henderson, N. Guldager",ALASKA,1999.00,NPS_YUCH,99 Burns,B242,242C3,6/26/2001,2001,1999,-141.8,65.4,#NULL!,dd/NAD27,565340.7,1764394.3,#NULL!,ALB/NAD27,3.5,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.5,#NULL!,2.0,.0,4.50,3,#NULL!,#NULL!,#NULL!,#NULL!,1.0,2.0,2.0,5.00,3,#NULL!,#NULL!,#NULL!,2.5,1.0,#NULL!,#NULL!,2.5,6.00,3,#NULL!,#NULL!,#NULL!,3.00,2.40,2.50,#NULL!,3.0,10.90,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,30.0,100.0,15.50,10.90,26.40,9,4,13,1.50,1.67,2.00,2.73,#NULL!,1.72,2.73,2.03,"Black Spruce diam = 2 - 6 inches; grass, equisetum, fireweed, corcan, spibea, salix, shrub larch.  Will likely fill with more grass.",B242,242C3
