qual_ea,qual_ia,region,examine,subreg,fireyr,reg_code,proj_cod,fire_nam,plot_id,fld_date,fld_year,firedate,utmeast,utmnorth,utm_zone,gpsdatum,utme_rep,utmn_rep,utmz_rep,datumrep,gpserror,aspect,slope,radius_o,radius_u,n_photos,fuelphot,pctburnu,pctburno,precov_l,precov_d,precov_s,predep_l,predep_d,predep_f,a_moss,a_litter,a_duff,a_med_f,a_heavy_,a_soilc,a_sum,a_n,b_pre_co,b_enhanc,b_nvplnt,b_fol_al,b_living,b_coloni,b_sppcom,b_sum,b_n,c_pre_co,c_enhanc,c_fol_un,c_fol_al,c_living,c_chcove,c_coloni,c_sppcom,c_sum,c_n,d_pre_co,d_pre#li,d_pre#de,d_green,d_black,d_brown,d_canmor,d_charht,d_sum,d_n,d_girdl,d_felled,d_tmort,e_pre_co,e_pre#li,e_pre#de,e_green,e_black,e_brown,e_canmor,e_charht,e_sum,e_n,e_girdl,e_felled,e_tmort,tree_grd,tree_fel,tree_mor,s_undr,s_over,s_total,n_undr,n_over,n_total,a_mean,b_mean,c_mean,d_mean,e_mean,cbi_undr,cbi_over,cbi_totl,comment,firenam2,plot_id2
1,-9,SW,"Thorst,Wilcox,Wienk, Rehman",CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hicr01,09/11/2001,2001,06/01/2000,624064.0,4831775.0,13,NAD27,#NULL!,#NULL!,#NULL!,,1.9,wnw,15.0,15,10,3,,95.0,95.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.0,1.2,.8,#NULL!,.1,4.10,4,#NULL!,#NULL!,#NULL!,#NULL!,1.9,.8,1.2,3.90,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,67.0,#NULL!,#NULL!,1.0,.0,1.0,#NULL!,.5,2.50,4,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,8.00,2.50,10.50,7,4,11,1.03,1.30,#NULL!,#NULL!,.63,1.14,.63,.95,"Ponderosa Pine, Canopy Cover (CC) 67%,mid slope,intermediate mixed w/ large trees, lots of seedlings dead from fire",Highland Creek,hicr01
1,-9,SW,"Thorst,Wilcox, Rehman",CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hicr03,09/10/2002,2002,06/01/2000,625143.0,4830327.0,13,NAD27,#NULL!,#NULL!,#NULL!,,1.4,,#NULL!,15,10,2,,95.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.9,2.9,1.7,2.5,1.7,11.70,5,#NULL!,#NULL!,#NULL!,#NULL!,1.2,2.8,2.7,6.70,3,#NULL!,#NULL!,3.0,3.0,3.0,#NULL!,#NULL!,3.0,12.00,4,#NULL!,#NULL!,#NULL!,3.00,3.00,3.00,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.8,2.8,#NULL!,#NULL!,8.60,3,#NULL!,#NULL!,#NULL!,#NULL!,7.0,100.0,30.40,17.60,48.00,12,6,18,2.34,2.23,3.00,3.00,2.87,2.53,2.93,2.67,none,Highland Creek,hicr03
1,-9,SW,"Thorst,Wilcox, Rehman",CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hicr04,09/10/2002,2002,07/01/2000,626188.0,4829819.0,13,NAD27,#NULL!,#NULL!,#NULL!,,#NULL!,,#NULL!,15,10,2,,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.5,2.5,1.5,#NULL!,.5,7.00,4,#NULL!,#NULL!,#NULL!,#NULL!,.1,.2,.2,.50,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7.50,.00,7.50,7,0,7,1.75,.17,#NULL!,#NULL!,#NULL!,1.07,#NULL!,1.07,"open meadow, grass only",Highland Creek,hicr04
1,-9,SW,"Thorst,Wilcox,Wienk, Rehman",CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hicr05,09/11/2002,2002,06/01/2000,624456.0,4831376.0,13,NAD27,#NULL!,#NULL!,#NULL!,,1.6,e,20.0,15,10,2,,75.0,75.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.5,2.5,1.8,1.5,.7,9.00,5,#NULL!,#NULL!,#NULL!,#NULL!,1.2,1.4,1.4,4.00,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,50.0,#NULL!,#NULL!,1.50,.20,1.50,#NULL!,.3,3.50,4,#NULL!,#NULL!,#NULL!,50.0,#NULL!,#NULL!,1.3,1.3,1.2,#NULL!,.3,4.10,4,#NULL!,#NULL!,#NULL!,#NULL!,5.0,8.0,13.00,7.60,20.60,8,8,16,1.80,1.33,#NULL!,.88,1.03,1.63,.95,1.29,"mid slope, Ponderosa pine, meadow edge, 50% CC",Highland Creek,hicr05
1,-9,SW,"Thorst,Wienk, Rehman",CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hicr07,09/11/2002,2002,06/01/2000,624392.0,4831410.0,13,NAD27,#NULL!,#NULL!,#NULL!,,1.0,e,18.0,15,10,2,,95.0,95.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.9,2.0,1.5,1.0,1.3,7.70,5,#NULL!,#NULL!,#NULL!,#NULL!,1.4,1.3,1.0,3.70,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,35.0,#NULL!,#NULL!,2.2,.5,2.0,#NULL!,1.0,5.70,4,#NULL!,#NULL!,#NULL!,#NULL!,5.0,60.0,11.40,5.70,17.10,8,4,12,1.54,1.23,#NULL!,#NULL!,1.43,1.43,1.43,1.43,"intermediate trees mixed w/ big, east aspect, upper third of slope, Ponderosa Pine, CC 35%",Highland Creek,hicr07
1,-9,SW,"Thorst,Wienk, Rehman",CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hicr08,09/11/2002,2002,07/01/2000,624770.0,4831889.0,13,NAD27,#NULL!,#NULL!,#NULL!,,1.9,,20.0,15,10,2,,85.0,85.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.3,2.1,1.5,#NULL!,.2,6.10,4,#NULL!,#NULL!,#NULL!,#NULL!,.4,.4,.3,1.10,3,#NULL!,#NULL!,1.5,.5,1.4,#NULL!,#NULL!,#NULL!,3.40,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.4,.5,1.5,#NULL!,.6,4.00,4,#NULL!,#NULL!,#NULL!,#NULL!,.0,5.0,10.60,4.00,14.60,10,4,14,1.53,.37,1.45,#NULL!,1.00,1.06,1.00,1.04,"20% slope, bottom 1/3 of slope, near edge/drainage bottom",Highland Creek,hicr08
1,-9,SW,"Thorst,Wilcox,Wienk, Rehman",CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hicr10,09/11/2002,2002,06/01/2000,625140.0,4831896.0,13,NAD27,#NULL!,#NULL!,#NULL!,,1.7,,#NULL!,15,10,2,,90.0,90.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.0,2.0,1.5,1.6,1.1,8.20,5,#NULL!,#NULL!,#NULL!,#NULL!,1.2,2.3,2.1,5.60,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,3.00,1.00,2.80,#NULL!,1.9,8.70,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.3,1.0,2.6,#NULL!,2.0,7.90,4,#NULL!,#NULL!,#NULL!,#NULL!,10.0,90.0,13.80,16.60,30.40,8,8,16,1.64,1.87,#NULL!,2.18,1.98,1.73,2.08,1.90,none,Highland Creek,hicr10
1,-9,SW,"Thorst,Wilcox, Rehman",CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hicr14,09/10/2000,2000,06/01/2000,625733.0,4830864.0,13,NAD27,#NULL!,#NULL!,#NULL!,,#NULL!,,#NULL!,15,10,#NULL!,,100.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.3,2.0,.7,1.0,.2,6.20,5,#NULL!,#NULL!,#NULL!,#NULL!,.5,1.3,1.3,3.10,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.2,.0,2.7,#NULL!,.8,5.70,4,#NULL!,#NULL!,#NULL!,#NULL!,12.0,75.0,9.30,5.70,15.00,8,4,12,1.24,1.03,#NULL!,#NULL!,1.43,1.16,1.43,1.25,none,Highland Creek,hicr14
1,-9,SW,"Thorst,Wilcox, Rehman",CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hicr15,09/10/2002,2002,06/01/2000,625513.0,4830306.0,13,NAD27,#NULL!,#NULL!,#NULL!,,1.5,,#NULL!,15,10,3,,100.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.7,2.7,2.7,3.0,2.3,13.40,5,#NULL!,#NULL!,#NULL!,#NULL!,2.0,2.6,2.7,7.30,3,#NULL!,#NULL!,3.0,3.0,3.0,#NULL!,#NULL!,3.0,12.00,4,#NULL!,#NULL!,#NULL!,3.00,3.00,3.00,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,3.0,3.0,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,10.0,100.0,32.70,18.00,50.70,12,6,18,2.68,2.43,3.00,3.00,3.00,2.73,3.00,2.82,none,Highland Creek,hicr15
1,-9,SW,Black Hills Group,CENTRAL,2000.00,NPS_WICA,2000 burns,Highland Creek,hi009,05/13/2002,2002,07/01/2000,625039.0,4832272.0,13,NAD27,#NULL!,#NULL!,#NULL!,,6.0,,#NULL!,15,10,2,,85.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.5,1.5,1.5,2.0,.5,7.00,5,#NULL!,#NULL!,#NULL!,#NULL!,.8,.2,1.0,1.95,3,#NULL!,#NULL!,1.0,.8,#NULL!,#NULL!,.0,.5,2.30,4,#NULL!,#NULL!,#NULL!,.50,.50,.80,#NULL!,1.0,2.80,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.1,.1,.2,#NULL!,1.0,1.40,4,#NULL!,#NULL!,#NULL!,5.0,5.0,2.0,11.25,4.20,15.45,12,8,20,1.40,.65,.50,.70,.35,.94,.53,.77,"P pine few big trees >24"" dbh, mostly intermediate to 12"" dbh and 15 m tall",Highland Creek,hi009
