qual_ea,qual_ia,region,examine,subreg,fireyr,reg_code,proj_cod,fire_nam,plot_id,fld_date,fld_year,firedate,utmeast,utmnorth,utm_zone,gpsdatum,utme_rep,utmn_rep,utmz_rep,datumrep,gpserror,aspect,slope,radius_o,radius_u,n_photos,fuelphot,pctburnu,pctburno,precov_l,precov_d,precov_s,predep_l,predep_d,predep_f,a_moss,a_litter,a_duff,a_med_f,a_heavy_,a_soilc,a_sum,a_n,b_pre_co,b_enhanc,b_nvplnt,b_fol_al,b_living,b_coloni,b_sppcom,b_sum,b_n,c_pre_co,c_enhanc,c_fol_un,c_fol_al,c_living,c_chcove,c_coloni,c_sppcom,c_sum,c_n,d_pre_co,d_pre#li,d_pre#de,d_green,d_black,d_brown,d_canmor,d_charht,d_sum,d_n,d_girdl,d_felled,d_tmort,e_pre_co,e_pre#li,e_pre#de,e_green,e_black,e_brown,e_canmor,e_charht,e_sum,e_n,e_girdl,e_felled,e_tmort,tree_grd,tree_fel,tree_mor,s_undr,s_over,s_total,n_undr,n_over,n_total,a_mean,b_mean,c_mean,d_mean,e_mean,cbi_undr,cbi_over,cbi_totl,comment,firenam2,plot_id2
0,0,SE,"Benson, Fusco,",SE,2002.00,NPS_SHEN,Fultz Run,Fultz Run,10F,9/9/2002,2002,2/2/2002,712736.0,4262965.0,17,NAD27,#NULL!,#NULL!,#NULL!,,5.8,S,30.0,15,10,2,,100.0,100.0,#NULL!,#NULL!,70.0,#NULL!,#NULL!,#NULL!,#NULL!,2.8,1.0,.6,1.0,.2,5.60,5,#NULL!,#NULL!,#NULL!,.5,.3,.5,.7,2.00,4,#NULL!,#NULL!,.2,.2,.2,#NULL!,#NULL!,1.0,1.60,4,#NULL!,#NULL!,#NULL!,.30,#NULL!,.30,.3,.2,1.10,4,7.0,.0,#NULL!,#NULL!,#NULL!,#NULL!,.0,#NULL!,.0,.0,.1,.10,4,7.0,.0,#NULL!,#NULL!,#NULL!,#NULL!,9.20,1.20,10.40,13,8,21,1.12,.50,.40,.28,.03,.71,.15,.50,"70% of plot is rocky. 15 m from plot on south edge is higher burn severity. On north edge going up slope is higher burn severity and more rocky w/ transisition to more shrubs, few trees in overstory. Decid forest NA for black. Mostly GA VAPA Ches oak SAAL",Fultz Run,10F
1,1,SE,"Karanosky, Fusc",SE,2002.00,NPS_SHEN,Fultz Run,Fultz Run,12F,10/9/2002,2002,2/2/2002,712993.0,4263026.0,17,NAD27,#NULL!,#NULL!,#NULL!,,11.0,S,42.0,15,10,2,,#NULL!,#NULL!,#NULL!,#NULL!,40.0,#NULL!,#NULL!,#NULL!,#NULL!,2.6,2.3,2.4,3.0,1.4,11.70,5,#NULL!,#NULL!,#NULL!,3.0,1.0,.5,1.0,5.50,4,#NULL!,#NULL!,1.7,#NULL!,1.0,#NULL!,#NULL!,.5,3.20,3,#NULL!,#NULL!,#NULL!,.40,#NULL!,1.00,.5,.6,2.50,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,#NULL!,.0,.0,.4,.40,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20.40,2.90,23.30,12,8,20,2.34,1.38,1.07,.63,.10,1.70,.36,1.17,"East edge of the plot is covered by a rock scree.  Plot is covered by 40% rocks.  Trees include, Pines, Oaks Maples and Hickory.  There are very few new serals.  Fire damage is most severe to the small saplings.",Fultz Run,12F
1,1,SE,"Karanosky, Fusc",SE,2002.00,NPS_SHEN,Fultz Run,Fultz Run,13F,10/7/2002,2002,2/2/2002,712788.0,4263013.0,17,NAD27,#NULL!,#NULL!,#NULL!,,5.8,S,60.0,15,10,2,,#NULL!,#NULL!,#NULL!,#NULL!,75.0,#NULL!,#NULL!,#NULL!,#NULL!,2.9,2.7,2.5,#NULL!,1.7,9.80,4,#NULL!,#NULL!,#NULL!,2.9,.7,.8,.5,4.90,4,#NULL!,#NULL!,2.2,1.3,1.2,#NULL!,#NULL!,1.0,5.70,4,#NULL!,#NULL!,#NULL!,1.30,#NULL!,1.30,1.3,.5,4.40,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,#NULL!,.0,.0,1.0,1.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20.40,5.40,25.80,12,8,20,2.45,1.23,1.43,1.10,.25,1.70,.68,1.29,75% of plot covered by a rock scree.,Fultz Run,13F
1,1,SE,"Karanosky, Fusc",SE,2002.00,NPS_SHEN,Fultz Run,Fultz Run,14F,10/7/2002,2002,2/2/2002,712838.0,4263062.0,17,NAD27,#NULL!,#NULL!,#NULL!,,4.7,S,#NULL!,15,10,2,,100.0,100.0,#NULL!,#NULL!,70.0,#NULL!,#NULL!,#NULL!,#NULL!,2.8,2.4,2.0,3.0,.7,10.90,5,#NULL!,#NULL!,#NULL!,3.0,1.0,.5,.5,5.00,4,#NULL!,#NULL!,2.7,.7,1.0,#NULL!,#NULL!,1.5,5.90,4,#NULL!,#NULL!,#NULL!,.50,#NULL!,1.30,.5,.8,3.10,4,10.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,#NULL!,.0,.0,.6,.60,4,10.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,21.80,3.70,25.50,13,8,21,2.18,1.25,1.48,.78,.15,1.68,.46,1.21,"Plot is 70% covered by rocks, bordered by rock screes on the east and west sides.  Trees in the plot include Oak, Black Gum, Red Maple and Sassafrass.  Shrubs include Kalmia and Blueberry.",Fultz Run,14F
1,1,SE,"Benson, Fusco,",SE,2002.00,NPS_SHEN,Fultz Run,Fultz Run,15F,9/9/2002,2002,2/2/2002,712384.0,4262962.0,17,NAD27,#NULL!,#NULL!,#NULL!,,6.7,SSE,80.0,15,10,2,,100.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.0,2.0,1.4,#NULL!,1.0,6.40,4,#NULL!,#NULL!,1.2,1.7,.7,1.2,1.0,4.60,4,#NULL!,#NULL!,1.2,1.0,.5,#NULL!,#NULL!,1.0,3.70,4,#NULL!,#NULL!,#NULL!,.50,#NULL!,.50,.5,.4,1.90,4,5.0,.0,#NULL!,#NULL!,#NULL!,#NULL!,.0,#NULL!,.0,.0,.2,.20,4,5.0,.0,#NULL!,#NULL!,#NULL!,#NULL!,14.70,2.10,16.80,12,8,20,1.60,1.15,.93,.48,.05,1.23,.26,.84,"Rocky slope, mixed hardwoods and one large pine.  Shrubs include Gaylussacia and Vaccinium pallidum.",Fultz Run,15F
1,1,SE,"Karanosky, Hern",SE,2002.00,NPS_SHEN,Fultz Run,Fultz Run,16F,9/9/2002,2002,2/2/2002,712252.0,4262845.0,17,NAD27,#NULL!,#NULL!,#NULL!,,3.0,SW,25.0,15,10,7,,100.0,100.0,#NULL!,#NULL!,10.0,#NULL!,#NULL!,#NULL!,#NULL!,2.8,1.7,1.7,1.6,.8,8.60,5,#NULL!,#NULL!,#NULL!,2.8,1.0,.5,1.5,5.80,4,#NULL!,#NULL!,2.9,1.8,.3,#NULL!,#NULL!,.7,5.70,4,#NULL!,#NULL!,#NULL!,2.10,#NULL!,2.30,2.3,1.3,8.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20.10,8.00,28.10,13,4,17,1.72,1.45,1.43,2.00,#NULL!,1.55,2.00,1.65,Ten percent of the plot was exposed rock pre fire. Twenty to thirty percent of the plot is exposed rock post fire.,Fultz Run,16F
1,1,SE,"Benson, Fusco,",SE,2002.00,NPS_SHEN,Fultz Run,Fultz Run,17F,9/9/2002,2002,2/2/2002,712435.0,4263056.0,17,NAD27,#NULL!,#NULL!,#NULL!,,7.0,S,100.0,15,10,5,,20.0,20.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.2,.2,.1,.1,.1,.70,5,#NULL!,#NULL!,#NULL!,.1,.1,.3,.2,.70,4,#NULL!,#NULL!,1.2,.1,.3,#NULL!,#NULL!,.5,2.10,4,#NULL!,#NULL!,#NULL!,.20,#NULL!,.20,.0,.1,.50,4,.0,.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,.0,.0,#NULL!,#NULL!,#NULL!,#NULL!,3.50,.50,4.00,13,4,17,.14,.18,.53,.13,#NULL!,.27,.13,.24,"Scree, slope with little vegetation.  80% of the plot is unburned.  Small islands of vegetation in plot surrounded by larger islands of vegetation around plot.  Vegetation includes Kalmia latifolia, Sassafrass albidium, Pinus rigida, Castanea dentata and",Fultz Run,17F
1,1,SE,"Karanosky, Hern",SE,2002.00,NPS_SHEN,Fultz Run,Fultz Run,1F,9/9/2002,2002,2/2/2002,712337.0,4262867.0,17,NAD27,#NULL!,#NULL!,#NULL!,,3.0,S,21.0,15,10,7,,100.0,100.0,#NULL!,#NULL!,15.0,#NULL!,#NULL!,#NULL!,#NULL!,2.8,1.7,1.3,2.4,1.2,9.40,5,#NULL!,#NULL!,#NULL!,2.9,1.0,.7,1.0,5.60,4,#NULL!,#NULL!,2.9,1.3,.7,#NULL!,#NULL!,1.0,5.90,4,#NULL!,#NULL!,#NULL!,2.30,#NULL!,2.00,2.0,1.0,7.30,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.0,.4,.40,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20.90,7.70,28.60,13,9,22,1.88,1.40,1.48,1.83,.08,1.61,.86,1.30,Fifteen percent of the plot was covered by rock pre fire.  Thirty percent of the plot was covered by rock post fire.,Fultz Run,1F
1,1,SE,"Karanosky, Fusc",SE,2002.00,NPS_SHEN,Fultz Run,Fultz Run,23F,10/9/2002,2002,2/2/2002,713253.0,4262911.0,17,NAD27,#NULL!,#NULL!,#NULL!,,6.4,S,25.0,15,10,2,,#NULL!,#NULL!,#NULL!,#NULL!,60.0,#NULL!,#NULL!,#NULL!,#NULL!,2.0,.8,.8,1.8,.3,5.70,5,#NULL!,#NULL!,#NULL!,1.6,.2,.6,.2,2.60,4,#NULL!,#NULL!,2.4,.0,.2,#NULL!,#NULL!,.2,2.80,4,#NULL!,#NULL!,#NULL!,.00,#NULL!,.00,.0,.5,.50,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,#NULL!,.0,.0,.3,.30,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,11.10,.80,11.90,13,8,21,1.14,.65,.70,.13,.08,.85,.10,.57,"Light burn that top killed many seedlings and saplings.  Plot is covered by 60% rock.  Trees include Sassafras, Chestnut Oak, Maple, Hickory and Chestnut.",Fultz Run,23F
1,1,SE,"Karanosky, Fusc",SE,2002.00,NPS_SHEN,Fultz Run,Fultz Run,27F,10/12/2002,2002,2/2/2002,711926.0,4264526.0,17,NAD27,#NULL!,#NULL!,#NULL!,,6.9,W,10.0,15,10,2,,100.0,100.0,#NULL!,#NULL!,5.0,#NULL!,#NULL!,#NULL!,#NULL!,2.0,1.0,.8,1.2,.1,5.10,5,#NULL!,#NULL!,#NULL!,1.5,.2,.7,.5,2.90,4,#NULL!,#NULL!,2.3,.4,.5,#NULL!,#NULL!,.5,3.70,4,#NULL!,#NULL!,#NULL!,.00,#NULL!,.00,.0,.1,.10,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,#NULL!,.0,.0,.1,.10,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,11.70,.20,11.90,13,8,21,1.02,.73,.93,.03,.03,.90,.03,.57,"Lots of down and dead pine. Overstory mainly Oaks. Understory Black Gum, Sassafras, Hickory and Maple. Plot is flat with very few rocks.  Substrate is lightly burned except for areas around downed wood.",Fultz Run,27F
