qual_ea,qual_ia,region,examine,subreg,fireyr,reg_code,proj_cod,fire_nam,plot_id,fld_date,fld_year,firedate,utmeast,utmnorth,utm_zone,gpsdatum,utme_rep,utmn_rep,utmz_rep,datumrep,gpserror,aspect,slope,radius_o,radius_u,n_photos,fuelphot,pctburnu,pctburno,precov_l,precov_d,precov_s,predep_l,predep_d,predep_f,a_moss,a_litter,a_duff,a_med_f,a_heavy_,a_soilc,a_sum,a_n,b_pre_co,b_enhanc,b_nvplnt,b_fol_al,b_living,b_coloni,b_sppcom,b_sum,b_n,c_pre_co,c_enhanc,c_fol_un,c_fol_al,c_living,c_chcove,c_coloni,c_sppcom,c_sum,c_n,d_pre_co,d_pre#li,d_pre#de,d_green,d_black,d_brown,d_canmor,d_charht,d_sum,d_n,d_girdl,d_felled,d_tmort,e_pre_co,e_pre#li,e_pre#de,e_green,e_black,e_brown,e_canmor,e_charht,e_sum,e_n,e_girdl,e_felled,e_tmort,tree_grd,tree_fel,tree_mor,s_undr,s_over,s_total,n_undr,n_over,n_total,a_mean,b_mean,c_mean,d_mean,e_mean,cbi_undr,cbi_over,cbi_totl,comment,firenam2,plot_id2
1,-9,NROCK,Carl's group,NR_GLAC,1998.00,NPS_GLAC,1998_EA,Challenge,Ch1,09/26/2001,2001,08/01/1998,326677.0,5344805.0,12,NAD27,326677.0,5344805.0,12,NAD27,8.0,,#NULL!,15,10,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.8,2.5,2.5,2.8,13.55,5,#NULL!,#NULL!,#NULL!,2.5,1.3,1.8,2.3,7.75,4,#NULL!,#NULL!,#NULL!,2.8,1.3,1.5,#NULL!,2.3,7.75,4,#NULL!,#NULL!,#NULL!,3.00,2.75,2.75,#NULL!,#NULL!,8.50,3,90.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.8,2.8,#NULL!,#NULL!,8.50,3,90.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,29.05,17.00,46.05,13,6,19,2.71,1.94,1.94,2.83,2.83,2.23,2.83,2.42,,Challenge,Ch1
1,-9,NROCK,Team-1,NR_GLAC,1998.00,NPS_GLAC,1998_EA,Challenge,T-1,09/26/2001,2001,08/01/1998,326681.0,5344681.0,12,NAD27,326681.0,5344681.0,12,NAD27,5.0,,#NULL!,15,10,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.3,2.5,2.3,2.2,2.5,11.80,5,#NULL!,#NULL!,#NULL!,1.3,2.5,2.0,2.5,8.30,4,#NULL!,#NULL!,#NULL!,2.6,2.5,2.8,#NULL!,2.8,10.70,4,#NULL!,#NULL!,#NULL!,3.00,3.00,3.00,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,3.0,3.0,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,30.80,18.00,48.80,13,6,19,2.36,2.08,2.68,3.00,3.00,2.37,3.00,2.57,,Challenge,T-1
1,-9,NROCK,Nate's group,NR_GLAC,1998.00,NPS_GLAC,1998_EA,Challenge,Ch2,09/26/2001,2001,08/01/1998,325664.0,5347679.0,12,NAD27,325664.0,5347679.0,12,NAD27,5.5,,#NULL!,15,10,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.0,2.5,2.0,2.0,1.5,10.00,5,#NULL!,#NULL!,#NULL!,#NULL!,2.5,2.0,2.5,7.00,3,#NULL!,#NULL!,#NULL!,2.5,2.0,#NULL!,#NULL!,2.5,7.00,3,#NULL!,#NULL!,#NULL!,3.00,3.00,3.00,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,3.0,3.0,#NULL!,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,24.00,18.00,42.00,11,6,17,2.00,2.33,2.33,3.00,3.00,2.18,3.00,2.47,,Challenge,Ch2
1,-9,NROCK,Carl's group,NR_GLAC,1998.00,NPS_GLAC,1998_EA,Challenge,Ch3,09/26/2001,2001,08/01/1998,325749.0,5347676.0,12,NAD27,325749.0,5347676.0,12,NAD27,3.0,,#NULL!,15,10,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.8,2.8,2.8,2.0,2.8,13.00,5,#NULL!,#NULL!,#NULL!,#NULL!,2.3,2.0,2.3,6.50,3,#NULL!,#NULL!,#NULL!,2.8,1.5,#NULL!,#NULL!,1.5,5.75,3,#NULL!,#NULL!,#NULL!,3.00,3.00,2.90,#NULL!,2.9,11.80,4,90.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.8,2.8,#NULL!,#NULL!,8.50,3,90.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25.25,20.30,45.55,11,7,18,2.60,2.17,1.92,2.95,2.83,2.30,2.90,2.53,,Challenge,Ch3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
