qual_ea,qual_ia,region,examine,subreg,fireyr,reg_code,proj_cod,fire_nam,plot_id,fld_date,fld_year,firedate,utmeast,utmnorth,utm_zone,gpsdatum,utme_rep,utmn_rep,utmz_rep,datumrep,gpserror,aspect,slope,radius_o,radius_u,n_photos,fuelphot,pctburnu,pctburno,precov_l,precov_d,precov_s,predep_l,predep_d,predep_f,a_moss,a_litter,a_duff,a_med_f,a_heavy_,a_soilc,a_sum,a_n,b_pre_co,b_enhanc,b_nvplnt,b_fol_al,b_living,b_coloni,b_sppcom,b_sum,b_n,c_pre_co,c_enhanc,c_fol_un,c_fol_al,c_living,c_chcove,c_coloni,c_sppcom,c_sum,c_n,d_pre_co,d_pre#li,d_pre#de,d_green,d_black,d_brown,d_canmor,d_charht,d_sum,d_n,d_girdl,d_felled,d_tmort,e_pre_co,e_pre#li,e_pre#de,e_green,e_black,e_brown,e_canmor,e_charht,e_sum,e_n,e_girdl,e_felled,e_tmort,tree_grd,tree_fel,tree_mor,s_undr,s_over,s_total,n_undr,n_over,n_total,a_mean,b_mean,c_mean,d_mean,e_mean,cbi_undr,cbi_over,cbi_totl,comment,firenam2,plot_id2
0,-9,NROCK,,NR_GRTE,2000.00,NPS_GRTE,2000 burns,BLIND TRAIL,BT-01,8/26/2002,2002,07/01/2000,526139.0,4766537.0,12,NAD27,526139.0,4766537.0,12,NAD27,.0,,#NULL!,#NULL!,#NULL!,#NULL!,abla,.0,.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,4,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,.00,.00,.00,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,.00,.00,14,8,22,.00,.00,.00,.00,.00,.00,.00,.00,"BAD UTM, UNBURNED. ABLA/VASC. UNBURNED IN 2000, BUT EVIDENCE OF OLDER BURN (IE. BURNED STUMP). SEVERAL DEAD STANDING ABLA DUE TO MISTLETOE. FUEL MODEL 8.",BLIND TRAIL,BT-01
1,-9,NROCK,,NR_GRTE,2000.00,NPS_GRTE,2000 burns,BLIND TRAIL,BT-02,8/26/2002,2002,07/01/2000,525628.0,4767442.0,12,NAD27,525628.0,4767442.0,12,NAD27,.0,,#NULL!,#NULL!,#NULL!,#NULL!,abla,90.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.8,2.0,2.5,3.0,1.5,10.80,5,#NULL!,#NULL!,#NULL!,#NULL!,2.3,2.0,2.1,6.40,3,#NULL!,#NULL!,3.0,2.9,.6,#NULL!,2.0,1.5,10.00,5,#NULL!,#NULL!,#NULL!,3.00,2.30,1.50,#NULL!,2.5,9.30,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.3,2.0,#NULL!,#NULL!,7.30,3,#NULL!,#NULL!,#NULL!,100.0,15.0,100.0,27.20,16.60,43.80,13,7,20,2.16,2.13,2.00,2.33,2.43,2.09,2.37,2.19,"FUEL MODEL 8. ABLA/VASC, HEAVY CARU. EVIDENCE OF CATTLE GRAZING (BROWSED/MEADOW MUFFINS). MUSK AND BULL THISTLE PRESENT, ALSO TRDU, LASC, TAOF. CANOPY COMP. ABLA AND PICO.",BLIND TRAIL,BT-02
1,-9,NROCK,,NR_GRTE,2000.00,NPS_GRTE,2000 burns,BLIND TRAIL,BT-03,8/26/2002,2002,07/01/2000,525775.0,4767525.0,12,NAD27,525775.0,4767525.0,12,NAD27,.0,,#NULL!,#NULL!,#NULL!,#NULL!,pico,17.0,65.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.1,.5,.2,2.0,.6,3.40,5,#NULL!,#NULL!,#NULL!,#NULL!,1.0,1.0,1.0,3.00,3,#NULL!,#NULL!,#NULL!,2.3,#NULL!,#NULL!,.3,.9,3.50,3,#NULL!,#NULL!,#NULL!,2.30,1.00,2.00,#NULL!,.2,5.50,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.4,.5,.5,#NULL!,1.0,4.40,4,#NULL!,#NULL!,#NULL!,30.0,5.0,38.0,9.90,9.90,19.80,11,8,19,.68,1.00,1.17,1.38,1.10,.90,1.24,1.04,ABLA/VASC. FUEL MODEL 8. 70% PICO OVERSTORY. BARK BEETLES PRESENT AND HAS CAUSED SOME OVERSTORY MORTALITY.,BLIND TRAIL,BT-03
1,-9,NROCK,,NR_GRTE,2000.00,NPS_GRTE,2000 burns,BLIND TRAIL,BT-04,8/26/2002,2002,07/01/2000,525553.0,4767137.0,12,NAD27,525553.0,4767137.0,12,NAD27,4.0,,#NULL!,#NULL!,#NULL!,#NULL!,abla,85.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.6,2.3,1.0,1.6,1.2,7.70,5,#NULL!,#NULL!,#NULL!,#NULL!,1.9,2.4,2.0,6.30,3,#NULL!,#NULL!,3.0,3.0,2.3,#NULL!,1.2,1.1,10.60,5,#NULL!,#NULL!,#NULL!,2.80,2.20,1.00,#NULL!,2.7,8.70,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,1.5,2.0,#NULL!,2.5,9.00,4,#NULL!,#NULL!,#NULL!,95.0,15.0,100.0,24.60,17.70,42.30,13,8,21,1.54,2.10,2.12,2.18,2.25,1.89,2.21,2.01,FUEL MODEL 8. ABLA/CARU. TALL FORB PATCH 5X6 M OF RUDBECKIA. EVIDENCE OF GRAZING (BROWSED CARU AND EPAN). LASE IS VERY ABUNDANT. SPURGE PRESENT.,BLIND TRAIL,BT-04
1,-9,NROCK,,NR_GRTE,2000.00,NPS_GRTE,2000 burns,BLIND TRAIL,BT-05,8/26/2002,2002,07/01/2000,525936.0,4767369.0,12,NAD27,525936.0,4767369.0,12,NAD27,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,plantation,.0,.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,3,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,.00,.00,.00,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,.00,.00,13,8,21,.00,.00,.00,.00,.00,.00,.00,.00,UNBURNED. PICO REPRODUCTION.,BLIND TRAIL,BT-05
1,-9,NROCK,,NR_GRTE,2000.00,NPS_GRTE,2000 burns,BLIND TRAIL,BT-06,8/26/2002,2002,07/01/2000,525606.0,4766832.0,12,NAD27,525606.0,4766832.0,12,NAD27,.0,,#NULL!,#NULL!,#NULL!,#NULL!,plantation,25.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.4,.3,.1,2.0,1.2,4.00,5,#NULL!,#NULL!,#NULL!,#NULL!,1.3,1.5,1.1,3.90,3,#NULL!,#NULL!,1.0,.5,#NULL!,#NULL!,1.0,1.0,3.50,4,#NULL!,#NULL!,#NULL!,.50,.00,1.00,#NULL!,.0,1.50,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20.0,11.40,1.50,12.90,12,4,16,.80,1.30,.88,.38,#NULL!,.95,.38,.81,"PLOT AN OLD CLEARCUT, APPROX. 15 YRS OLD. REGENERATION INCLUDES PIEN, ABLA, AND PICO. MOSTLY PICO. ABUNDANT CAGE. FUEL MODEL 2",BLIND TRAIL,BT-06
1,-9,NROCK,,NR_GRTE,2000.00,NPS_GRTE,2000 burns,BLIND TRAIL,BT-07,8/26/2002,2002,07/01/2000,526235.0,4767373.0,12,NAD27,526235.0,4767373.0,12,NAD27,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,mixcon,100.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.6,2.6,2.7,3.0,2.6,13.50,5,#NULL!,#NULL!,#NULL!,#NULL!,2.3,2.4,1.6,6.30,3,#NULL!,#NULL!,3.0,2.1,1.6,#NULL!,1.9,2.0,10.60,5,#NULL!,#NULL!,#NULL!,3.00,2.90,2.80,#NULL!,2.7,11.40,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.4,1.6,#NULL!,3.0,10.00,4,#NULL!,#NULL!,#NULL!,90.0,8.0,100.0,30.40,21.40,51.80,13,8,21,2.70,2.10,2.12,2.85,2.50,2.34,2.68,2.47,ABLA/SPBE OR CARU. PSME AND PICO PRESENT BEFORE BURN.,BLIND TRAIL,BT-07
1,-9,NROCK,,NR_GRTE,2000.00,NPS_GRTE,2000 burns,BLIND TRAIL,BT-08,8/26/2002,2002,07/01/2000,525290.0,4766715.0,12,NAD27,525290.0,4766715.0,12,NAD27,13.0,,#NULL!,#NULL!,#NULL!,#NULL!,abla,97.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.1,2.7,1.0,2.7,2.1,10.60,5,#NULL!,#NULL!,#NULL!,#NULL!,2.1,2.1,1.3,5.50,3,#NULL!,#NULL!,3.0,1.5,#NULL!,#NULL!,2.0,.7,7.20,4,#NULL!,#NULL!,#NULL!,2.50,1.00,2.50,#NULL!,.8,6.80,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,.0,2.5,#NULL!,.7,6.20,4,#NULL!,#NULL!,#NULL!,80.0,5.0,95.0,23.30,13.00,36.30,12,8,20,2.12,1.83,1.80,1.70,1.55,1.94,1.63,1.82,FUEL MODEL 8. ABLA/CARU.,BLIND TRAIL,BT-08
1,-9,NROCK,,NR_GRTE,2000.00,NPS_GRTE,2000 burns,BLIND TRAIL,BT-09,8/26/2002,2002,07/01/2000,526632.0,4767527.0,12,NAD27,526632.0,4767527.0,12,NAD27,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,abla,100.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.6,2.2,3.0,2.7,13.50,5,#NULL!,#NULL!,#NULL!,#NULL!,2.0,1.6,2.0,5.60,3,#NULL!,#NULL!,3.0,1.0,#NULL!,#NULL!,1.6,2.0,7.60,4,#NULL!,#NULL!,#NULL!,3.00,1.00,2.50,#NULL!,1.4,7.90,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,1.0,2.5,#NULL!,2.0,8.50,4,#NULL!,#NULL!,#NULL!,95.0,15.0,100.0,26.70,16.40,43.10,12,8,20,2.70,1.87,1.90,1.98,2.13,2.23,2.05,2.16,ABLA/SPBE.,BLIND TRAIL,BT-09
1,-9,NROCK,,NR_GRTE,2000.00,NPS_GRTE,2000 burns,BLIND TRAIL,BT-10,8/26/2002,2002,07/01/2000,525326.0,4766474.0,12,NAD27,525326.0,4766474.0,12,NAD27,3.0,,#NULL!,#NULL!,#NULL!,#NULL!,mixcon,100.0,100.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.9,2.7,2.8,3.0,3.0,14.40,5,#NULL!,#NULL!,#NULL!,#NULL!,2.5,2.9,2.0,7.40,3,#NULL!,#NULL!,3.0,3.0,#NULL!,#NULL!,2.0,1.5,9.50,4,#NULL!,#NULL!,#NULL!,3.00,3.00,3.00,#NULL!,3.0,12.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.4,1.5,#NULL!,3.0,9.90,4,#NULL!,#NULL!,#NULL!,100.0,15.0,100.0,31.30,21.90,53.20,12,8,20,2.88,2.47,2.38,3.00,2.48,2.61,2.74,2.66,"FUEL MODEL 8. ABLA/VASC. LASE IS ABUNDANT. TRDU, TAOF PRESENT. PICO SEEDLINGS ABUNDANT. 95% BARE GROUND.",BLIND TRAIL,BT-10
