qual_ea,qual_ia,region,examine,subreg,fireyr,reg_code,proj_cod,fire_nam,plot_id,fld_date,fld_year,firedate,utmeast,utmnorth,utm_zone,gpsdatum,utme_rep,utmn_rep,utmz_rep,datumrep,gpserror,aspect,slope,radius_o,radius_u,n_photos,fuelphot,pctburnu,pctburno,precov_l,precov_d,precov_s,predep_l,predep_d,predep_f,a_moss,a_litter,a_duff,a_med_f,a_heavy_,a_soilc,a_sum,a_n,b_pre_co,b_enhanc,b_nvplnt,b_fol_al,b_living,b_coloni,b_sppcom,b_sum,b_n,c_pre_co,c_enhanc,c_fol_un,c_fol_al,c_living,c_chcove,c_coloni,c_sppcom,c_sum,c_n,d_pre_co,d_pre#li,d_pre#de,d_green,d_black,d_brown,d_canmor,d_charht,d_sum,d_n,d_girdl,d_felled,d_tmort,e_pre_co,e_pre#li,e_pre#de,e_green,e_black,e_brown,e_canmor,e_charht,e_sum,e_n,e_girdl,e_felled,e_tmort,tree_grd,tree_fel,tree_mor,s_undr,s_over,s_total,n_undr,n_over,n_total,a_mean,b_mean,c_mean,d_mean,e_mean,cbi_undr,cbi_over,cbi_totl,comment,firenam2,plot_id2
1,-9,NROCK,"Seifert, Miller",NR_YELL,2001.00,NPS_YELL,2001_EA,Arthur,A1,30-JUL-2002,2002,29-JUL-200,577120.0,4925027.0,12,NAD83,577181.3,4924817.1,12,NAD27,8.5,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.3,1.4,1.3,1.4,.5,5.90,5,#NULL!,#NULL!,#NULL!,#NULL!,1.3,1.5,1.5,4.30,3,#NULL!,#NULL!,#NULL!,1.2,#NULL!,#NULL!,1.7,1.7,4.60,3,#NULL!,#NULL!,#NULL!,2.70,.00,2.50,#NULL!,.5,5.70,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.0,2.0,#NULL!,1.8,8.80,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,14.80,14.50,29.30,11,8,19,1.18,1.43,1.53,1.43,2.20,1.35,1.81,1.54,,Arthur,A1
0,-9,NROCK,"Pecha, Spadl",NR_YELL,2001.00,NPS_YELL,2001_EA,Arthur,A10,30-JUL-2002,2002,29-JUL-200,578583.0,4925060.0,12,NAD83,578644.2,4924850.2,12,NAD27,4.6,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.5,.5,.5,.2,.2,1.90,5,#NULL!,#NULL!,#NULL!,#NULL!,1.8,1.8,2.0,5.60,3,#NULL!,#NULL!,#NULL!,.2,#NULL!,#NULL!,2.0,2.0,4.20,3,#NULL!,#NULL!,#NULL!,3.00,1.00,2.00,#NULL!,1.5,7.50,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.0,2.0,#NULL!,3.0,10.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,11.70,17.50,29.20,11,8,19,.38,1.87,1.40,1.88,2.50,1.06,2.19,1.54,,Arthur,A10
1,-9,NROCK,"Pecha, Spadl",NR_YELL,2001.00,NPS_YELL,2001_EA,Arthur,A11,30-JUL-2002,2002,29-JUL-200,578472.0,4924980.0,12,NAD83,578533.2,4924770.2,12,NAD27,7.3,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.5,1.5,1.5,1.0,1.0,6.50,5,#NULL!,#NULL!,#NULL!,#NULL!,2.4,1.5,1.5,5.40,3,#NULL!,#NULL!,#NULL!,2.0,#NULL!,#NULL!,1.5,1.5,5.00,3,#NULL!,#NULL!,#NULL!,2.70,2.30,2.00,#NULL!,2.0,9.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.0,1.8,#NULL!,2.5,9.30,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,16.90,18.30,35.20,11,8,19,1.30,1.80,1.67,2.25,2.33,1.54,2.29,1.85,,Arthur,A11
0,-9,NROCK,"Pecha, Spandl",NR_YELL,2001.00,NPS_YELL,2001_EA,Arthur,A12,30-JUL-2002,2002,29-JUL-200,578393.0,4925002.0,12,NAD83,578454.2,4924792.2,12,NAD27,7.3,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.3,.5,.3,.3,.2,1.60,5,#NULL!,#NULL!,#NULL!,#NULL!,1.3,2.0,1.5,4.80,3,#NULL!,#NULL!,#NULL!,.0,#NULL!,#NULL!,1.5,1.5,3.00,3,#NULL!,#NULL!,#NULL!,2.50,.50,2.30,#NULL!,.5,5.80,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,.0,2.3,#NULL!,1.3,6.60,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9.40,12.40,21.80,11,8,19,.32,1.60,1.00,1.45,1.65,.85,1.55,1.15,,Arthur,A12
1,-9,NROCK,"Pecha, Spandl",NR_YELL,2001.00,NPS_YELL,2001_EA,Arthur,A13,30-JUL-2002,2002,29-JUL-200,578498.0,4925095.0,12,NAD83,578559.2,4924885.2,12,NAD27,9.1,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.5,.5,.5,.2,.2,1.90,5,#NULL!,#NULL!,#NULL!,#NULL!,1.8,1.8,2.0,5.60,3,#NULL!,#NULL!,#NULL!,.3,#NULL!,#NULL!,1.5,1.5,3.30,3,#NULL!,#NULL!,#NULL!,3.00,1.00,2.00,#NULL!,1.5,7.50,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,1.9,2.0,#NULL!,3.0,9.90,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10.80,17.40,28.20,11,8,19,.38,1.87,1.10,1.88,2.48,.98,2.18,1.48,,Arthur,A13
1,-9,NROCK,"Pecha, Spandl",NR_YELL,2001.00,NPS_YELL,2001_EA,Arthur,A14,30-JUL-2002,2002,29-JUL-200,578469.0,4925134.0,12,NAD83,578530.2,4924924.2,12,NAD27,9.1,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.7,1.0,.7,1.0,.5,3.90,5,#NULL!,#NULL!,#NULL!,#NULL!,2.0,1.4,1.0,4.40,3,#NULL!,#NULL!,#NULL!,1.0,#NULL!,#NULL!,1.5,1.5,4.00,3,#NULL!,#NULL!,#NULL!,2.30,.00,2.00,#NULL!,1.3,5.60,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.2,.0,2.3,#NULL!,2.0,6.50,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,12.30,12.10,24.40,11,8,19,.78,1.47,1.33,1.40,1.63,1.12,1.51,1.28,,Arthur,A14
1,-9,NROCK,"Pecha, Spandl",NR_YELL,2001.00,NPS_YELL,2001_EA,Arthur,A15,30-JUL-2002,2002,29-JUL-200,578537.0,4925197.0,12,NAD83,578598.2,4924987.2,12,NAD27,7.0,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.5,.8,.7,.3,.3,2.60,5,#NULL!,#NULL!,#NULL!,#NULL!,1.3,1.0,1.0,3.30,3,#NULL!,#NULL!,#NULL!,.3,#NULL!,#NULL!,1.3,1.5,3.10,3,#NULL!,#NULL!,#NULL!,2.50,1.00,2.00,#NULL!,1.3,6.80,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.5,2.0,2.0,#NULL!,2.6,9.10,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9.00,15.90,24.90,11,8,19,.52,1.10,1.03,1.70,2.28,.82,1.99,1.31,,Arthur,A15
1,-9,NROCK,"Seifert, Miller",NR_YELL,2001.00,NPS_YELL,2001_EA,Arthur,A2,30-JUL-2002,2002,29-JUL-200,577019.0,4924966.0,12,NAD83,577080.3,4924756.1,12,NAD27,6.8,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.4,.8,.7,.5,.0,2.40,5,#NULL!,#NULL!,#NULL!,#NULL!,.8,.8,1.0,2.60,3,#NULL!,#NULL!,#NULL!,.3,#NULL!,#NULL!,.5,.7,1.50,3,#NULL!,#NULL!,#NULL!,2.50,.00,2.00,#NULL!,.3,4.80,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2.0,.0,2.7,#NULL!,.5,5.20,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6.50,10.00,16.50,11,8,19,.48,.87,.50,1.20,1.30,.59,1.25,.87,,Arthur,A2
1,-9,NROCK,"Seifert, Miller",NR_YELL,2001.00,NPS_YELL,2001_EA,Arthur,A21,30-JUL-2002,2002,29-JUL-200,576880.0,4924514.0,12,NAD83,576941.3,4924304.1,12,NAD27,11.7,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.7,1.5,2.0,2.2,.4,7.80,5,#NULL!,#NULL!,#NULL!,#NULL!,2.0,2.0,2.4,6.40,3,#NULL!,#NULL!,#NULL!,2.5,#NULL!,#NULL!,2.1,1.9,6.50,3,#NULL!,#NULL!,#NULL!,3.00,2.50,2.80,#NULL!,1.5,9.80,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,1.5,2.3,#NULL!,2.5,9.30,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,20.70,19.10,39.80,11,8,19,1.56,2.13,2.17,2.45,2.33,1.88,2.39,2.09,,Arthur,A21
1,-9,NROCK,"Seifert, Miller",NR_YELL,2001.00,NPS_YELL,2001_EA,Arthur,A3,30-JUL-2002,2002,29-JUL-200,576978.0,4924920.0,12,NAD83,577039.3,4924710.1,12,NAD27,6.6,,#NULL!,#NULL!,#NULL!,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.6,1.5,1.5,1.9,1.0,7.50,5,#NULL!,#NULL!,#NULL!,#NULL!,2.5,2.2,2.5,7.20,3,#NULL!,#NULL!,#NULL!,2.5,#NULL!,#NULL!,2.5,2.5,7.50,3,#NULL!,#NULL!,#NULL!,3.00,2.70,3.00,#NULL!,2.5,11.20,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.0,2.4,2.4,#NULL!,2.7,10.50,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,22.20,21.70,43.90,11,8,19,1.50,2.40,2.50,2.80,2.63,2.02,2.71,2.31,,Arthur,A3
