qual_ea,qual_ia,region,examine,subreg,fireyr,reg_code,proj_cod,fire_nam,plot_id,fld_date,fld_year,firedate,utmeast,utmnorth,utm_zone,gpsdatum,utme_rep,utmn_rep,utmz_rep,datumrep,gpserror,aspect,slope,radius_o,radius_u,n_photos,fuelphot,pctburnu,pctburno,precov_l,precov_d,precov_s,predep_l,predep_d,predep_f,a_moss,a_litter,a_duff,a_med_f,a_heavy_,a_soilc,a_sum,a_n,b_pre_co,b_enhanc,b_nvplnt,b_fol_al,b_living,b_coloni,b_sppcom,b_sum,b_n,c_pre_co,c_enhanc,c_fol_un,c_fol_al,c_living,c_chcove,c_coloni,c_sppcom,c_sum,c_n,d_pre_co,d_pre#li,d_pre#de,d_green,d_black,d_brown,d_canmor,d_charht,d_sum,d_n,d_girdl,d_felled,d_tmort,e_pre_co,e_pre#li,e_pre#de,e_green,e_black,e_brown,e_canmor,e_charht,e_sum,e_n,e_girdl,e_felled,e_tmort,tree_grd,tree_fel,tree_mor,s_undr,s_over,s_total,n_undr,n_over,n_total,a_mean,b_mean,c_mean,d_mean,e_mean,cbi_undr,cbi_over,cbi_totl,comment,firenam2,plot_id2
1,1,SW,"Brannfors, Hahn",SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P15,11/08/2001,2001,05/07/2000,405279.0,4012897.0,12,NAD27,#NULL!,#NULL!,#NULL!,,6.9,NR,#NULL!,15,10,#NULL!,NR,#NULL!,.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,3,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,.00,.00,.00,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,.00,.00,13,8,21,.00,.00,.00,.00,.00,.00,.00,.00,"*PIEN, ABLA, POTR",Outlet,P15
1,1,SW,"Brannfors, Hahn",SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P19,11/08/2001,2001,05/07/2000,405098.0,4011326.0,12,NAD27,#NULL!,#NULL!,#NULL!,,12.7,NR,#NULL!,15,10,#NULL!,NR,#NULL!,.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,3,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,.00,.00,.00,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,.00,.00,13,8,21,.00,.00,.00,.00,.00,.00,.00,.00,"*PIEN, ABLA, POTR",Outlet,P19
1,1,SW,"Brannfors, Hahn",SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P23,11/09/2001,2001,05/07/2000,405286.0,4009856.0,12,NAD27,#NULL!,#NULL!,#NULL!,,3.5,NR,#NULL!,15,10,#NULL!,NR,#NULL!,.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,3,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,.00,.00,.00,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,.00,.00,13,8,21,.00,.00,.00,.00,.00,.00,.00,.00,"*PIEN, ABLA, POTR",Outlet,P23
1,1,SW,Brannfors,SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P50,11/14/2001,2001,05/07/2000,406221.0,4011173.0,12,NAD27,#NULL!,#NULL!,#NULL!,,4.8,NR,#NULL!,15,10,#NULL!,NR,#NULL!,.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,3,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,.00,.00,.00,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,.00,.00,13,8,21,.00,.00,.00,.00,.00,.00,.00,.00,"PIEN, ABLA w/few PIPO, POTR",Outlet,P50
1,1,SW,Brannfors,SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P54,11/14/2001,2001,05/07/2000,406107.0,4011533.0,12,NAD27,#NULL!,#NULL!,#NULL!,,4.4,NR,#NULL!,15,10,#NULL!,NR,#NULL!,.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,3,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.0,.00,5,#NULL!,#NULL!,#NULL!,.00,.00,.00,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,.00,.00,13,8,21,.00,.00,.00,.00,.00,.00,.00,.00,"PIEN, POTR w/some PIPO, ABLA",Outlet,P54
0,1,SW,"Brannfors, Hahn",SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P39,11/12/2001,2001,05/07/2000,407651.0,4013466.0,12,NAD27,#NULL!,#NULL!,#NULL!,,1.8,NR,#NULL!,15,10,#NULL!,NR,#NULL!,5.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.1,.1,.1,.1,.1,.50,5,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,3,#NULL!,#NULL!,.1,.1,#NULL!,#NULL!,.1,.0,.30,4,#NULL!,#NULL!,#NULL!,.10,.00,.10,#NULL!,.1,.30,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.1,.10,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.80,.40,1.20,12,8,20,.10,.00,.08,.08,.03,.07,.05,.06,"PIEN, POTR w/very few PIPO, PSME, ABLA",Outlet,P39
1,1,SW,Brannfors,SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P49,11/14/2001,2001,05/07/2000,405900.0,4010875.0,12,NAD27,#NULL!,#NULL!,#NULL!,,3.6,NR,#NULL!,15,10,#NULL!,NR,#NULL!,1.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.1,.1,.1,.1,.1,.50,5,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,.00,3,#NULL!,#NULL!,.1,.1,.0,#NULL!,.2,.0,.40,5,#NULL!,#NULL!,#NULL!,.10,.00,.10,#NULL!,.1,.30,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.0,.00,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.90,.30,1.20,13,8,21,.10,.00,.08,.08,.00,.07,.04,.06,"PIEN, ABLA, POTR",Outlet,P49
0,1,SW,"Brannfors,Hahn,Bell,Roberts",SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P7,10/12/2001,2001,05/07/2000,409447.0,4018000.0,12,NAD27,#NULL!,#NULL!,#NULL!,,5.0,NR,#NULL!,15,10,#NULL!,NR,#NULL!,10.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.1,.1,.1,.8,.1,1.20,5,#NULL!,#NULL!,#NULL!,#NULL!,.1,.0,.0,.10,3,#NULL!,#NULL!,.2,.1,#NULL!,#NULL!,.1,.0,.40,4,#NULL!,#NULL!,#NULL!,.00,.00,.00,#NULL!,.1,.10,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.0,.0,.0,#NULL!,.1,.10,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.70,.20,1.90,12,8,20,.24,.03,.10,.03,.03,.14,.03,.10,"POTR w/ PIEN, ABCO understory",Outlet,P7
1,1,SW,"Brannfors,Hahn",SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P22,11/09/2001,2001,05/07/2000,405243.0,4009978.0,12,NAD27,#NULL!,#NULL!,#NULL!,,10.3,NR,#NULL!,15,10,#NULL!,NR,#NULL!,10.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.2,.1,.1,.1,.1,.60,5,#NULL!,#NULL!,#NULL!,#NULL!,.5,.1,.0,.60,3,#NULL!,#NULL!,.2,.1,.0,#NULL!,.0,.0,.30,5,#NULL!,#NULL!,#NULL!,.10,.00,.10,#NULL!,.1,.30,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.1,.0,.2,#NULL!,.1,.40,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.50,.70,2.20,13,8,21,.12,.20,.06,.08,.10,.12,.09,.10,"PIEN, POTR w/some PIPO: Edge of meadow",Outlet,P22
1,1,SW,Brannfors,SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P51,11/14/2001,2001,05/07/2000,406306.0,4011152.0,12,NAD27,#NULL!,#NULL!,#NULL!,,6.0,NR,#NULL!,15,10,#NULL!,NR,#NULL!,15.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.2,.5,.2,.1,.7,1.70,5,#NULL!,#NULL!,#NULL!,#NULL!,1.0,.0,.1,1.10,3,#NULL!,#NULL!,.3,.2,#NULL!,#NULL!,.1,.0,.60,4,#NULL!,#NULL!,#NULL!,.40,.20,.50,#NULL!,.2,1.30,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.7,.0,.5,#NULL!,.2,1.40,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3.40,2.70,6.10,12,8,20,.34,.37,.15,.33,.35,.28,.34,.31,"PIEN, ABLA, POTR",Outlet,P51
1,1,SW,"Brannfors,Hahn",SW_GRCA,2000.00,NPS_GRCA,2000burns,Outlet,P41,11/12/2001,2001,05/07/2000,406997.0,4013477.0,12,NAD27,#NULL!,#NULL!,#NULL!,,2.8,NR,#NULL!,15,10,#NULL!,NR,#NULL!,13.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.2,.2,.2,.1,1.0,1.70,5,#NULL!,#NULL!,#NULL!,#NULL!,.5,.2,.3,1.00,3,#NULL!,#NULL!,.5,.1,#NULL!,#NULL!,.4,.3,1.30,4,#NULL!,#NULL!,#NULL!,.40,.10,1.00,#NULL!,.3,1.80,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1.1,.1,.8,#NULL!,.1,2.10,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4.00,3.90,7.90,12,8,20,.34,.33,.33,.45,.53,.33,.49,.40,"PIEN, POTR w/some PIPO on meadow edge",Outlet,P41
