qual_ea,qual_ia,region,examine,subreg,fireyr,reg_code,proj_cod,fire_nam,plot_id,fld_date,fld_year,firedate,utmeast,utmnorth,utm_zone,gpsdatum,utme_rep,utmn_rep,utmz_rep,datumrep,gpserror,aspect,slope,radius_o,radius_u,n_photos,fuelphot,pctburnu,pctburno,precov_l,precov_d,precov_s,predep_l,predep_d,predep_f,a_moss,a_litter,a_duff,a_med_f,a_heavy_,a_soilc,a_sum,a_n,b_pre_co,b_enhanc,b_nvplnt,b_fol_al,b_living,b_coloni,b_sppcom,b_sum,b_n,c_pre_co,c_enhanc,c_fol_un,c_fol_al,c_living,c_chcove,c_coloni,c_sppcom,c_sum,c_n,d_pre_co,d_pre#li,d_pre#de,d_green,d_black,d_brown,d_canmor,d_charht,d_sum,d_n,d_girdl,d_felled,d_tmort,e_pre_co,e_pre#li,e_pre#de,e_green,e_black,e_brown,e_canmor,e_charht,e_sum,e_n,e_girdl,e_felled,e_tmort,tree_grd,tree_fel,tree_mor,s_undr,s_over,s_total,n_undr,n_over,n_total,a_mean,b_mean,c_mean,d_mean,e_mean,cbi_undr,cbi_over,cbi_totl,comment,firenam2,plot_id2
1,1,SW,"Nate, group",SW_OTHER,2002.00,NF_DIXI,Sanford02,Sanford,T-A,06/02/03,2003,04/01/02,398269.0,4184085.0,12,NAD27,#NULL!,#NULL!,#NULL!,,3.0,flat,.0,15,10,3,,30.0,25.0,40.0,15.0,40.0,.2,.2,3.0,#NULL!,.2,.1,#NULL!,#NULL!,.2,.50,3,55.0,100.0,#NULL!,1.3,1.5,.4,1.1,4.30,4,20.0,100.0,2.5,2.6,2.3,#NULL!,#NULL!,2.3,9.70,4,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,14.50,.00,14.50,11,0,11,.17,1.08,2.43,#NULL!,#NULL!,1.32,#NULL!,1.32,,Sanford,T-A
1,1,SW,"Nate, group",SW_OTHER,2002.00,NF_DIXI,Sanford02,Sanford,T-B,06/02/03,2003,04/01/02,398256.0,4184021.0,12,NAD27,#NULL!,#NULL!,#NULL!,,3.8,NW,7.0,15,10,4,,98.0,95.0,70.0,60.0,30.0,.5,.2,5.0,#NULL!,1.9,1.8,#NULL!,#NULL!,2.7,6.40,3,25.0,#NULL!,#NULL!,2.6,2.5,#NULL!,2.0,7.10,3,80.0,#NULL!,3.0,2.8,3.0,#NULL!,#NULL!,2.8,11.60,4,2.0,1,#NULL!,3.00,3.00,#NULL!,3.0,#NULL!,9.00,3,#NULL!,#NULL!,#NULL!,8.0,1,#NULL!,2.9,1.5,2.8,3.0,2.7,12.90,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,25.10,21.90,47.00,10,8,18,2.13,2.37,2.90,3.00,2.58,2.51,2.74,2.61,"pinon/juniper _80%, two larger trees",Sanford,T-B
1,1,SW,"Ohlen, Bruce, Kristen, Carl",SW_OTHER,2002.00,NF_DIXI,Sanford02,Sanford,103,06/03/03,2003,04/01/02,394231.0,4187370.0,12,NAD27,#NULL!,#NULL!,#NULL!,,4.0,S,20.0,15,10,3,,100.0,100.0,70.0,15.0,20.0,.2,.1,3.0,#NULL!,1.5,#NULL!,#NULL!,#NULL!,2.2,3.70,2,65.0,#NULL!,#NULL!,2.7,1.2,1.0,1.6,6.50,4,18.0,#NULL!,3.0,2.7,3.0,#NULL!,#NULL!,2.8,11.50,4,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,21.70,.00,21.70,10,0,10,1.85,1.63,2.88,#NULL!,#NULL!,2.17,#NULL!,2.17,"pinon/juniper w/ sage under, bottom of slope",Sanford,103
1,1,SW,"Ohlen, Bruce, Kristen, Carl",SW_OTHER,2002.00,NF_DIXI,Sanford02,Sanford,66,06/03/03,2003,04/01/02,393992.0,4187258.0,12,NAD27,#NULL!,#NULL!,#NULL!,,3.9,NNE,17.0,15,10,4,,100.0,100.0,100.0,100.0,2.0,1.0,.3,12.0,#NULL!,2.9,2.8,3.0,2.5,3.0,14.20,5,50.0,100.0,#NULL!,3.0,2.0,2.9,1.5,9.40,4,10.0,100.0,3.0,2.8,3.0,#NULL!,#NULL!,2.8,11.60,4,80.0,50,#NULL!,3.00,2.80,2.80,3.0,#NULL!,11.60,4,#NULL!,#NULL!,#NULL!,10.0,3,#NULL!,3.0,2.8,2.9,3.0,#NULL!,11.70,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,35.20,23.30,58.50,13,8,21,2.84,2.35,2.90,2.90,2.93,2.71,2.91,2.79,"Forest PSME, Abies concolor, some PIPO. Fairly dense small ridge knoll, mid slope",Sanford,66
1,1,SW,"Kristen, Carl",SW_OTHER,2002.00,NF_DIXI,Sanford02,Sanford,27A,06/03/03,2003,04/01/02,393843.0,4187073.0,12,NAD27,#NULL!,#NULL!,#NULL!,,3.0,NNE,50.0,15,10,4,,100.0,100.0,90.0,75.0,10.0,1.0,.4,6.0,#NULL!,3.0,3.0,2.9,#NULL!,3.0,11.90,4,45.0,100.0,#NULL!,3.0,2.5,2.9,2.5,10.90,4,20.0,100.0,3.0,3.0,3.0,#NULL!,#NULL!,2.8,11.80,4,65.0,40,#NULL!,3.00,3.00,3.00,3.0,#NULL!,12.00,4,#NULL!,#NULL!,#NULL!,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,34.60,12.00,46.60,12,4,16,2.98,2.73,2.95,3.00,#NULL!,2.88,3.00,2.91,"Crown burn, small to intermediate trees in overstory. Convex mid-slope.",Sanford,27A
1,1,SW,"Kristen, Carl",SW_OTHER,2002.00,NF_DIXI,Sanford02,Sanford,124,06/03/03,2003,04/01/02,394440.0,4185779.0,12,NAD27,#NULL!,#NULL!,#NULL!,,#NULL!,NE,70.0,15,10,4,,100.0,100.0,80.0,55.0,15.0,.7,.7,5.0,#NULL!,2.9,2.9,#NULL!,3.0,2.9,11.70,4,50.0,#NULL!,#NULL!,3.0,2.3,2.7,2.5,10.50,4,40.0,#NULL!,3.0,2.9,3.0,#NULL!,#NULL!,2.9,11.80,4,60.0,35,#NULL!,3.00,2.90,3.00,3.0,#NULL!,11.90,4,#NULL!,#NULL!,#NULL!,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,34.00,11.90,45.90,12,4,16,2.93,2.63,2.95,2.98,#NULL!,2.83,2.98,2.87,"pinon/juniper, convex ridge nose",Sanford,124
1,1,SW,"Kristen, Carl",SW_OTHER,2002.00,NF_DIXI,Sanford02,Sanford,65,06/03/03,2003,04/01/02,394530.0,4185330.0,12,NAD27,#NULL!,#NULL!,#NULL!,,5.0,SE,70.0,15,10,3,,70.0,80.0,40.0,40.0,60.0,.3,.2,3.5,#NULL!,2.0,#NULL!,#NULL!,#NULL!,1.9,3.90,2,25.0,#NULL!,#NULL!,2.3,1.7,2.3,2.4,8.70,4,25.0,#NULL!,3.0,2.8,3.0,#NULL!,#NULL!,2.8,11.60,4,10.0,3,#NULL!,3.00,2.80,3.00,3.0,#NULL!,11.80,4,#NULL!,#NULL!,#NULL!,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,24.20,11.80,36.00,10,4,14,1.95,2.18,2.90,2.95,#NULL!,2.42,2.95,2.57,"pinion/juniper, 1 PIPO, steep rocky slope.",Sanford,65
1,0,SW,"Kristen, Carl, Ohlen, Bruce",SW_OTHER,2002.00,NF_DIXI,Sanford02,Sanford,32,06/03/03,2003,04/01/02,395579.0,4183202.0,12,NAD27,#NULL!,#NULL!,#NULL!,,2.8,flat,2.0,15,10,3,,95.0,#NULL!,65.0,10.0,35.0,.2,.0,3.0,#NULL!,2.7,#NULL!,#NULL!,#NULL!,2.4,5.10,2,70.0,#NULL!,#NULL!,2.5,2.7,2.8,2.8,10.80,4,4.0,#NULL!,3.0,2.6,3.0,#NULL!,#NULL!,#NULL!,8.60,3,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,24.50,.00,24.50,9,0,9,2.55,2.70,2.87,#NULL!,#NULL!,2.72,#NULL!,2.72,sage mostly flat w/ few small pinion/juniper,Sanford,32
1,1,SW,"Kristen, Carl",SW_OTHER,2002.00,NF_DIXI,Sanford02,Sanford,27,06/03/03,2003,04/01/02,393843.0,4187073.0,12,NAD27,#NULL!,#NULL!,#NULL!,,3.0,NW,50.0,15,10,4,,100.0,100.0,90.0,75.0,10.0,1.5,.3,9.0,#NULL!,2.9,2.8,3.0,3.0,3.0,14.70,5,50.0,#NULL!,#NULL!,3.0,2.4,2.6,2.9,10.90,4,10.0,#NULL!,3.0,3.0,3.0,#NULL!,#NULL!,3.0,12.00,4,80.0,60,#NULL!,3.00,3.00,3.00,3.0,#NULL!,12.00,4,#NULL!,#NULL!,100.0,10.0,3,#NULL!,3.0,3.0,3.0,3.0,#NULL!,12.00,4,#NULL!,#NULL!,100.0,#NULL!,#NULL!,#NULL!,37.60,24.00,61.60,13,8,21,2.94,2.73,3.00,3.00,3.00,2.89,3.00,2.93,,Sanford,27
1,1,SW,"Nate, Crow, Roditti, Bastian",SW_OTHER,2002.00,NF_DIXI,Sanford02,Sanford,92A,06/03/03,2003,04/01/02,397709.0,4186748.0,12,NAD27,#NULL!,#NULL!,#NULL!,,4.0,NE,22.0,15,10,3,PJ01,100.0,#NULL!,25.0,5.0,40.0,.2,.2,.2,#NULL!,.5,#NULL!,#NULL!,#NULL!,2.2,2.70,2,40.0,#NULL!,#NULL!,2.8,2.6,2.1,2.3,9.80,4,.0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,.0,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,.00,0,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,12.50,.00,12.50,6,0,6,1.35,2.45,#NULL!,#NULL!,#NULL!,2.08,#NULL!,2.08,On edges of plot are some intermediate trees/tall shrubs.,Sanford,92A
