YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE
2017,California,California Department of Forestry and Fire Protection,Tulare County,DINELY,286,6/7/17,6/11/17,2 - Equipment Use,<Null>,339,340.5638,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Tulare County,ROADRUNNER,441,7/30/17,8/1/17,7 - Arson,<Null>,2289,2284.596,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Tulare County,ELEPHANT 2,420,7/20/17,7/22/17,7 - Arson,<Null>,416,415.2116,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Tehama - Glenn CAL FIRE,TEHAMA,10345,10/30/17,10/31/17,10 - Vehicle,<Null>,194,194.0017,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Tuolumne - Calaveras CAL FIRE,JACKSONVILLE,9024,7/29/17,7/30/17,14 - Unknown / Unidentified,<Null>,<Null>,684.3565,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Tuolumne - Calaveras CAL FIRE,MARIA,8497,7/17/17,7/17/17,14 - Unknown / Unidentified,<Null>,<Null>,114.5601,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Tuolumne - Calaveras CAL FIRE,TWIST,9089,7/30/17,7/30/17,14 - Unknown / Unidentified,<Null>,<Null>,124.244,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Tuolumne - Calaveras CAL FIRE,POINT,12170,10/9/17,10/9/17,11 - Powerline,October 2017 Siege,130,130.2357,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Luis Obispo CAL FIRE,LUCY,6548,6/14/17,6/14/17,11 - Powerline,Bird into energized power lines,150,147.667,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Luis Obispo CAL FIRE,OLIVE,8451,7/24/17,7/24/17,10 - Vehicle,Overheated brake and or AC clutch parts,251,236.8678,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Luis Obispo CAL FIRE,STONE,7792,7/9/17,7/11/17,2 - Equipment Use,<Null>,340,340.4365,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Luis Obispo CAL FIRE,ALAMO,7624,7/6/17,7/20/17,10 - Vehicle,<Null>,26678,28834.17,2 - GPS Air,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Luis Obispo CAL FIRE,HILL,7101,6/26/17,6/30/17,10 - Vehicle,<Null>,1646,1645.591,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Luis Obispo CAL FIRE,HUASNA,10788,9/20/17,9/20/17,2 - Equipment Use,<Null>,50,244.789,6 - Hand Drawn,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Luis Obispo CAL FIRE,POLY,11022,9/26/17,9/29/17,2 - Equipment Use,<Null>,<Null>,105.6661,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Luis Obispo CAL FIRE,CAMP,5454,5/15/17,5/15/17,9 - Miscellaneous,<Null>,<Null>,253.9364,6 - Hand Drawn,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Luis Obispo CAL FIRE,OLIVE,4896,5/2/17,5/2/17,10 - Vehicle,<Null>,<Null>,117.0671,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Siskiyou CAL FIRE,FAY,4779,7/5/17,7/5/17,9 - Miscellaneous,Dumping hot ash,469,469.3559,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Siskiyou CAL FIRE,HILL,5602,7/29/17,7/29/17,2 - Equipment Use,<Null>,155,155.1988,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Shasta - Trinity CAL FIRE,LAVERNE,7216,7/18/17,7/18/17,9 - Miscellaneous,<Null>,180,175.3335,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Shasta - Trinity CAL FIRE,BERRY,9460,9/12/17,10/4/17,1 - Lightning,<Null>,995,994.0728,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Santa Clara CAL FIRE,CORAL,6975,9/19/17,9/22/17,14 - Unknown / Unidentified,<Null>,35,157.2408,2 - GPS Air,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Santa Clara CAL FIRE,BALLY,6586,9/3/17,9/6/17,14 - Unknown / Unidentified,<Null>,20,109.1915,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Santa Clara CAL FIRE,FELIPE,5152,7/10/17,7/14/17,14 - Unknown / Unidentified,<Null>,70,102.559,2 - GPS Air,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Santa Clara CAL FIRE,LARIAT,5172,7/11/17,7/13/17,14 - Unknown / Unidentified,<Null>,25,102.1644,2 - GPS Air,Suppression (Wildfire)
2017,California,Contract County,Santa Barbara County,AIR,124234,9/25/17,9/25/17,2 - Equipment Use,<Null>,149,147.8375,1 - GPS Ground,Suppression (Wildfire)
2017,California,Contract County,Santa Barbara County,CEBRIAM,8281,6/25/17,6/25/17,11 - Powerline,<Null>,260,269.1116,1 - GPS Ground,Suppression (Wildfire)
2017,California,Contract County,Santa Barbara County,RUCKER,12621,9/29/17,10/4/17,10 - Vehicle,<Null>,444,429.7042,1 - GPS Ground,Suppression (Wildfire)
2018,California,Contract County,Santa Barbara County,WASIOJA,6679,5/20/18,5/22/18,11 - Powerline,<Null>,190,189.5374,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Riverside CAL FIRE,LAMB,64389,5/25/17,5/26/17,14 - Unknown / Unidentified,<Null>,193,193.6728,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Riverside CAL FIRE,OPERA,53193,4/30/17,5/2/17,14 - Unknown / Unidentified,<Null>,1458,999.6262,2 - GPS Air,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Riverside CAL FIRE,ROSE,94091,7/31/17,8/3/17,2 - Equipment Use,Fed Inc # 00002511,20,188.1239,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Riverside CAL FIRE,PALMER,108660,9/2/17,9/6/17,9 - Miscellaneous,<Null>,3874,3872.152,2 - GPS Air,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Riverside CAL FIRE,MIAS,100198,8/14/17,8/20/17,11 - Powerline, ,600,521.0856,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Riverside CAL FIRE,BLAINE,99747,8/13/17,8/14/17,14 - Unknown / Unidentified,<Null>,1500,577.6851,6 - Hand Drawn,Suppression (Wildfire)
