system:index,RdEVI,RdNBR,RdNBR2,RdNDVI,aspect,date,elev,focal_mean_evi_1,focal_mean_evi_2,focal_mean_evi_3,focal_mean_evi_4,focal_mean_ndvi_1,focal_mean_ndvi_2,focal_mean_ndvi_3,focal_mean_ndvi_4,focal_mean_ndwi_1,focal_mean_ndwi_2,focal_mean_ndwi_3,focal_mean_ndwi_4,het_evi_1,het_evi_2,het_evi_3,het_evi_4,het_ndvi_1,het_ndvi_2,het_ndvi_3,het_ndvi_4,het_ndwi_1,het_ndwi_2,het_ndwi_3,het_ndwi_4,ordinal_day,lat,lon,median_evi,median_ndvi,median_ndwi,satellite,slope,.geo
0000b41e45a508b01255_0,19.44562435,17.19303736,10.44200296,7.798867265,105,1.21498E+12,857,2.012551468,1.907855699,1.878987425,1.831355223,0.760046482,0.741210818,0.730864823,0.712183535,0.336038619,0.309441149,0.296699911,0.274155676,0.143549501,0.187904995,0.198392375,0.205296846,0.017647038,0.03154993,0.041488254,0.055235896,0.032856437,0.046258767,0.068348242,0.074527875,183,39.88721982,-121.375645,2.125019632,0.803434014,0.404334664,5,29,
0000b41e45a508b01255_1,20.82078926,24.26164779,13.86583485,12.10113551,87,1.21498E+12,1221,1.466249863,1.406624266,1.401718221,1.433869531,0.588397741,0.572122872,0.566839278,0.577435613,0.087916091,0.072807342,0.07521008,0.087425984,0.10808844,0.169600425,0.216885611,0.210166462,0.032336229,0.042350656,0.056704673,0.062201567,0.025764992,0.035848235,0.04562185,0.050906911,183,39.95540195,-121.3160867,1.57710106,0.578745544,0.05858586,5,39,
0000b41e45a508b01255_2,7.910943799,8.855310361,4.166992481,4.550246481,232,1.21498E+12,1052,1.720736907,1.447046727,1.361378171,1.379740177,0.691101491,0.621182323,0.600765109,0.607097447,0.288757652,0.217639625,0.187781408,0.193154916,0.408319925,0.537700723,0.57894683,0.5417057,0.097324837,0.142657829,0.153020435,0.148221356,0.144115834,0.195899181,0.208377578,0.206694946,183,39.84329221,-121.5211721,1.862557145,0.751338482,0.394599706,5,3,
0000b41e45a508b01255_4,25.35213062,26.36621523,14.28208091,11.74975467,257,1.21498E+12,835,2.141711322,2.118676762,2.138333317,2.135651792,0.811684191,0.802752256,0.804410875,0.804555357,0.403712213,0.398607194,0.399526983,0.397761464,0.150797646,0.147410689,0.159111482,0.152484068,0.018825356,0.031567808,0.031692439,0.029678532,0.020625139,0.027857014,0.03178786,0.030369951,183,39.77160665,-121.5400367,2.173863882,0.813274145,0.400085688,5,23,
0000b41e45a508b01255_5,39.92920462,31.35876231,15.31956953,20.70826134,208,1.21498E+12,1093,1.819527482,1.933490231,1.966238082,2.006600385,0.754155397,0.764018536,0.769144595,0.772308111,0.446032971,0.452571183,0.456692547,0.457106471,0.094814192,0.167940309,0.163564528,0.181081775,0.017101854,0.021414227,0.025998126,0.026597531,0.022556399,0.03021509,0.042864405,0.043471946,183,39.82820051,-121.5087754,1.879088021,0.763177454,0.430598408,5,15,
0000b41e45a508b01255_7,12.63132723,11.48896746,4.106314853,5.579686993,184,1.21498E+12,1285,1.272306068,1.302786834,1.341287782,1.372931315,0.582042634,0.584496737,0.59082669,0.601026237,0.179691926,0.179650307,0.181044817,0.190200135,0.145374332,0.194404807,0.222382722,0.229629503,0.049800242,0.060255705,0.068557667,0.0690359,0.065811423,0.082383861,0.08729741,0.089560433,183,39.87697903,-121.4271185,1.255947498,0.579787254,0.143249929,5,16,
0000b41e45a508b01255_8,13.96259541,13.26394179,6.051030212,10.13577991,131,1.21498E+12,987,2.042280727,2.028877275,2.011575087,1.963330392,0.701781988,0.708055854,0.710607708,0.702085078,0.335118115,0.329165041,0.316127121,0.29416272,0.263808572,0.241630625,0.23152759,0.261404361,0.104562678,0.082464123,0.070780321,0.068517084,0.072520834,0.076679192,0.081313644,0.098244363,183,39.91982867,-121.354894,2.002656611,0.701281428,0.328879952,5,23,
0000b41e45a508b01255_9,17.24255171,18.1922539,10.67211362,9.559365743,192,1.21498E+12,724,2.22149566,2.251256557,2.239518897,2.211601434,0.803787827,0.805001259,0.804014564,0.802627921,0.457425028,0.460721374,0.447745323,0.439953536,0.183148049,0.155338665,0.177168858,0.194044016,0.016895065,0.014457837,0.014340978,0.015983236,0.021981286,0.022979197,0.027396441,0.028394346,183,39.8139173,-121.4683512,2.294712146,0.818474412,0.469101131,5,17,
0000b41e45a508b01255_10,3.198432947,8.789901665,4.328532233,2.31819855,319,1.21498E+12,977,1.25232614,1.269297878,1.259497409,1.319550724,0.51292491,0.521223605,0.530093193,0.54483223,0.114915006,0.123724885,0.126331925,0.149772078,0.365762173,0.339792317,0.325402808,0.403740722,0.122592061,0.109395787,0.108473292,0.125374593,0.09642735,0.104192458,0.111757025,0.137539506,183,39.83817181,-121.5327604,1.228484963,0.49674952,0.104401805,5,11,
0000b41e45a508b01255_11,10.28820674,19.20837785,7.659810948,6.421485131,163,1.21498E+12,1207,1.074483084,1.055201172,1.083674994,1.144286875,0.417085588,0.416476011,0.431828737,0.455018759,-0.023537928,-0.02415511,-0.00825115,0.012158615,0.291245256,0.295030204,0.341069619,0.418597413,0.101453174,0.108199875,0.1251471,0.152034121,0.105290752,0.093029996,0.100984469,0.124424719,183,39.9384238,-121.3306394,1.058359807,0.43048659,-0.013843788,5,24,
